sitio	replica	estrato	taxa	abundance	body_mass	size_class
P	1	H	rhodacarioidea	45	8.87779556296473	meso
R	2	H	galumnidae	1	8.57182529334826	meso
L	2	10	hipogastruridae	8	8.57088220897363	meso
L	3	10	bdelloidea	1	8.40467103926076	meso
L	3	H	bdelloidea	2	8.40467103926076	meso
P	2	10	nem_omnivor	74	8.36134418790938	micro
R	1	10	nem_omnivor	4.47524752475248	8.29269638686084	micro
R	3	H	rhodacarioidea	8	8.28544082106591	meso
R	3	H	bdelloidea	3	8.24694998345159	meso
P	2	H	bdelloidea	5	8.23909296233866	meso
P	1	10	galumnidae	1	8.23509895956942	meso
P	1	H	oppioidea	43	8.18982381320533	meso
P	1	H	hipogastruridae	45	8.17157256475555	meso
L	3	H	onichiuridae	5	7.92341873932793	meso
P	2	H	rhodacarioidea	8	7.81609011602872	meso
R	2	H	astigmata	11	7.78451528294766	meso
P	3	Frag	alycidae	1	7.72024950683907	meso
R	1	10	oppioidea	4	7.66546854823524	meso
P	1	H	epilhomanioidea	1	7.56030832934205	meso
R	1	H	rhodacarioidea	2	7.55433886972826	meso
L	3	H	rhagidiidae	1	7.425150266648	meso
P	3	H	rhagidiidae	1	7.425150266648	meso
R	3	H	rhagidiidae	6	7.425150266648	meso
P	2	10	rhagidiidae	1	7.425150266648	meso
P	1	H	rhagidiidae	28	7.425150266648	meso
R	3	H	onichiuridae	36	7.3587188674128	meso
L	1	10	rhodacarioidea	1	7.34536736967829	meso
L	3	10	nem_fungivoro	47.7473684210526	7.27291366805931	micro
L	2	10	nem_omnivor	59.125	7.19003663979239	micro
L	1	H	oppioidea	4	7.05362139053265	meso
P	1	Frag	ichtyostomatogasteridae	1	7.01725691994862	meso
L	1	10	onichiuridae	40	6.74151668751198	meso
P	2	10	rhodacarioidea	2	6.6562195846625	meso
R	1	H	oppioidea	6	6.64787593170694	meso
R	3	10	nem_omnivor	52.4782608695652	6.64766694332874	micro
P	1	10	onichiuridae	4	6.62926488117868	meso
L	1	H	penthalidae	5	6.34208538576798	meso
R	1	H	isotomidae	3	6.12556592525004	meso
L	1	H	bdelloidea	1	5.81752115431948	meso
L	3	10	nem_predador	47.7473684210526	5.50752020463689	micro
P	1	10	astigmata	1	5.41637997552839	meso
P	1	H	astigmata	17	5.41637997552839	meso
P	3	10	nem_omnivor	60.5714285714286	5.36500681312002	micro
L	2	H	teneriffidae	5	5.35367765561704	meso
L	1	H	teneriffidae	3	5.35367765561704	meso
P	1	H	teneriffidae	5	5.35367765561704	meso
L	2	10	eupodoidea	1	5.29866956835381	meso
L	2	H	eupodoidea	11	5.29866956835381	meso
P	3	10	onichiuridae	1	5.03766420985621	meso
L	2	10	isotomidae	14	5.02026685645174	meso
P	2	10	isotomidae	15	4.98502736558407	meso
P	2	H	eupodoidea	6	4.97526713998597	meso
R	1	H	bdelloidea	3	4.85653229294316	meso
L	2	10	nem_predador	72.2638888888889	4.83920040814128	micro
P	1	H	eupodoidea	9	4.55966943896134	meso
L	3	10	onichiuridae	4	4.50351542144255	meso
L	2	10	onichiuridae	12	4.50351542144255	meso
P	2	10	onichiuridae	3	4.50351542144255	meso
R	1	10	nem_fungivoro	143.207920792079	4.37485940495959	micro
R	3	10	nem_fungivoro	556.269565217391	4.36167624070436	micro
L	2	H	bdelloidea	7	4.30151480100105	meso
R	3	H	eupodoidea	2	4.2565889382304	meso
R	2	H	isotomidae	7	4.15081976296683	meso
P	1	H	bdelloidea	25	4.13142878025004	meso
P	2	10	nem_predador	45.5384615384615	4.00953782798421	micro
P	3	H	astigmata	13	3.95442027411867	meso
R	1	10	astigmata	1	3.95151691758611	meso
R	1	H	astigmata	5	3.95151691758611	meso
L	1	10	eupodoidea	1	3.93447464334161	meso
L	1	H	eupodoidea	13	3.93447464334161	meso
P	3	humus	eupodoidea	1	3.90689054102528	meso
P	1	H	tydeioidea	1	3.82798119693046	meso
R	1	H	hipogastruridae	3	3.72860142552515	meso
R	3	10	nem_predador	41.9826086956522	3.67751760096312	micro
L	1	10	symphyla	1	3.62151382265188	meso
P	2	10	nem_fungivoro	130.923076923077	3.59051433308952	micro
R	1	10	nem_predador	17.9009900990099	3.57445881491333	micro
R	3	10	rhodacarioidea	1	3.56047797023157	meso
R	2	10	nem_bacterivoro	404.253164556962	3.48806645697226	micro
P	3	H	rhodacarioidea	7	3.41485091135513	meso
P	1	10	nem_fungivoro	177.611111111111	3.35892507541629	micro
L	1	10	nem_fungivoro	66.4477611940299	3.30806388938677	micro
R	2	10	onichiuridae	16	3.26988744440071	meso
R	2	10	isotomidae	9	3.18626598011757	meso
P	2	10	penthalidae	1	3.01069151696441	meso
R	1	H	eupodoidea	3	2.94969889656467	meso
L	3	10	nem_bacterivoro	155.178947368421	2.84534941512294	micro
L	3	H	tydeioidea	1	2.83495693000414	meso
L	2	H	tydeioidea	12	2.83495693000414	meso
P	1	10	nem_predador	84.9444444444445	2.80359614742294	micro
R	1	H	onichiuridae	21	2.79735172291789	meso
L	3	H	eupodoidea	12	2.78756690802384	meso
R	1	10	onichiuridae	12	2.75394110046638	meso
L	1	H	rhagidiidae	5	2.59800245653866	meso
R	3	10	onichiuridae	25	2.58881820524132	meso
P	1	humus	protura	1	2.40525301005366	meso
L	3	10	eupodoidea	2	2.37864325977737	meso
R	2	H	onichiuridae	22	2.34532780468217	meso
L	2	H	rhodacarioidea	7	2.27507346567154	meso
R	1	10	nem_bacterivoro	143.207920792079	2.18664158614903	micro
R	3	10	nem_bacterivoro	241.4	2.17797391701793	micro
L	3	10	isotomidae	2	2.15749908739685	meso
P	3	10	astigmata	9	2.15749019158765	meso
L	2	10	symphyla	1	2.13586017854838	meso
L	3	10	nem_fitofago	23.8736842105263	2.11003847506132	micro
R	1	10	nem_fitofago	143.207920792079	2.00405121072777	micro
L	1	10	nem_predador	12.6567164179104	1.93618686269575	micro
P	1	10	nem_fitofago	7.72222222222222	1.87018184408173	micro
L	2	10	nem_bacterivoro	72.2638888888889	1.86384012750928	micro
R	3	humus	protura	1	1.84496997188079	meso
R	1	H	symphyla	1	1.76873676100547	meso
L	3	H	teneriffidae	1	1.64460545508266	meso
L	1	10	nem_bacterivoro	88.5970149253731	1.58880897642677	micro
P	2	10	nem_bacterivoro	187.846153846154	1.54866418247898	micro
R	2	10	nem_fitofago	189.493670886076	1.52934900888747	micro
P	1	10	isotomidae	2	1.51244315544603	meso
L	2	10	nem_fitofago	85.4027777777778	1.06013819851284	micro
P	3	10	nem_predador	6.05714285714286	1.02843262832133	micro
R	2	H	tydeioidea	1	0.98266782747519	meso
P	1	10	nem_bacterivoro	169.888888888889	0.742667181005945	micro
P	2	10	eupodoidea	2	0.714488136892125	meso
P	3	10	nem_fungivoro	193.828571428571	0.709144943195523	micro
R	3	10	nem_fitofago	314.869565217391	0.641975959373969	micro
R	2	H	rhagidiidae	2	0.6090343010279	meso
P	3	10	nem_fitofago	151.428571428571	0.435160175989242	micro
P	2	10	nem_fitofago	79.6923076923077	0.388123313595184	micro
L	1	10	nem_fitofago	22.1492537313433	0.290272846584728	micro
P	3	10	nem_bacterivoro	224.114285714286	0.277561315863969	micro
