sitio	replica	estrato	taxa	abundance	body_mass	size_class
R	1	20	nematomorpha	5	4480	macro
R	1	10	elateriforme	1	4400	macro
P	1	20	ptilidae	3	4266.66666666667	macro
P	3	10	carabidae	2	4125.59087545018	macro
P	1	20	oniscidea	3	4000	meso
R	2	20	geophylomorpha	3	3943.59480867418	macro
L	1	H	oniscidea	2	3800	meso
R	2	Hoja	larva_coleoptero	1	3708.1573805	macro
L	3	20	trogossitidae	1	3600	macro
L	2	10	larva_diptera	2	3600	meso
L	1	10	cryptophagidae	1	3599	macro
R	3	H	cryptophagidae	1	3598	macro
L	3	H	cryptophagidae	3	3597	macro
L	1	H	pupa_diptera	44	3587.27666540505	meso
P	2	10	carabidae	4	3575.71322945842	macro
R	2	H	staphiliniidae	1	3571.09643347206	meso
P	1	10	carabidae	6	3466.66666666667	macro
R	1	20	Bimastos parvus	1	3450	macro
L	1	10	larva_sciaridae	1	3347.08822581161	meso
P	2	20	Eukerria halophila	1	3300	macro
L	3	10	diplopoda	1	3200	macro
R	3	10	carabidae	1	3200	macro
P	2	H	staphiliniidae	6	3144.22517817869	meso
R	2	20	formicidae	11	3024.51079931737	macro
L	2	10	larva_tenebrionidae	2	3000	meso
P	1	H	embrioptera	2	2961.66766429914	macro
R	1	H	lycosidae	7	2851.43122215627	macro
R	3	10	staphiliniidae	3	2800	meso
L	2	10	lycosidae	1	2800	macro
L	1	10	oniscidea	1	2800	meso
P	1	H	linyphiidae	2	2800	macro
R	3	H	staphiliniidae	2	2640.29451923519	meso
R	3	20	enchytraeida	6	2487.36137034487	meso
L	3	20	nematomorpha	3	2400	macro
P	1	20	carabidae	1	2400	macro
P	1	10	staphiliniidae	6	2334.04037204836	meso
P	1	H	staphiliniidae	9	2270.1287886995	meso
R	2	H	formicidae	2	2263.8348877047	macro
P	3	H	ptilidae	1	2234.7939924337	macro
P	1	H	ptilidae	2	2234.7939924337	macro
P	3	10	embrioptera	1	2225.14657032853	macro
P	2	H	embrioptera	4	2159.60503593686	macro
R	3	20	staphiliniidae	1	2120.24255755238	meso
R	1	H	larva_diptera	4	2108.66244904968	meso
L	2	H	enchytraeida	54	2085.92237801987	meso
L	3	H	enchytraeida	18	2050.64954529776	meso
L	3	H	pupa_diptera	10	2011.88016295	meso
L	3	H	geophylomorpha	1	2000	macro
P	3	20	formicidae	1	2000	macro
R	3	10	linyphiidae	1	2000	macro
L	2	20	staphiliniidae	1	2000	meso
R	3	10	enchytraeida	11	1906.19599984263	meso
P	3	H	larva_sciaridae	4	1888.93207894644	meso
L	1	10	staphiliniidae	10	1888.6781107136	meso
L	1	H	enchytraeida	148	1838.36514173824	meso
R	3	H	larva_sciaridae	47	1817.55272890838	meso
L	2	10	larva_sciaridae	1	1817.55272890838	meso
P	1	H	enchytraeida	55	1775.27169011519	meso
L	2	10	enchytraeida	27	1763.20705729475	meso
L	3	H	larva_sciaridae	9	1718.86877946448	meso
R	3	10	ptilidae	1	1702.8697399066	macro
R	3	10	nematomorpha	6	1666.66666666667	macro
L	3	H	oniscidea	1	1600	meso
R	3	20	gasteropoda	1	1600	macro
P	1	H	formicidae	1	1600	macro
P	2	H	larva_sciaridae	1	1578.60239439393	meso
L	1	10	pupa_diptera	2	1556.1615335	meso
L	1	10	larva_diptera	5	1478.71826115117	meso
R	1	H	enchytraeida	37	1446.80196458322	meso
R	3	20	lycosidae	1	1397.35319808825	macro
L	1	10	enchytraeida	74	1383.40999878125	meso
P	1	H	carabidae	2	1345.41714539372	macro
L	3	10	enchytraeida	13	1323.66048424124	meso
P	2	H	enchytraeida	3	1323.30791445306	meso
P	2	10	enchytraeida	1	1323.30791445306	meso
P	3	10	enchytraeida	1	1306.07011553637	meso
P	3	H	enchytraeida	1	1306.07011553637	meso
L	2	10	staphiliniidae	2	1276.28966795438	meso
R	1	H	staphiliniidae	1	1252.69516665254	meso
P	1	10	enchytraeida	11	1223.04498385085	meso
L	3	H	heteroptera	1	1192.04272807355	macro
R	3	H	enchytraeida	219	1145.10410573833	meso
P	2	10	staphiliniidae	3	1117.54208099476	meso
R	1	20	formicidae	11	1078.40741023064	macro
R	1	10	formicidae	37	1074.07146196344	macro
R	1	10	enchytraeida	24	1010.61975600434	meso
R	2	H	enchytraeida	18	975.207661890358	meso
L	3	10	staphiliniidae	3	943.54403837172	meso
P	3	H	embrioptera	5	937.71985549279	macro
R	2	H	larva_elateridae	3	933.333333333333	macro
L	3	H	staphiliniidae	5	931.895672613862	meso
L	1	H	staphiliniidae	4	924.636128828414	meso
P	1	20	staphiliniidae	1	924.636128828414	meso
P	1	H	trogossitidae	1	924.136933004054	macro
P	1	10	ichtyostomatogasteridae	1	895.257699422101	meso
P	1	Frag	cicadidae	2	892.613633204312	macro
L	3	H	carabidae	2	868.886010686594	macro
P	3	H	trogossitidae	1	865.600402249675	macro
R	3	H	pseudoscorpionida	1	832.55375895074	macro
