".tail",".head"
"staphylinidae","bdelloidea"
"trombidioidea","bdelloidea"
"bdelloidea","brachychthonioidea"
"carabidae","brachychthonioidea"
"chylopoda","brachychthonioidea"
"dermanyssoidea","brachychthonioidea"
"formicidae","brachychthonioidea"
"linyphiidae","brachychthonioidea"
"parasitoidea","brachychthonioidea"
"staphylinidae","brachychthonioidea"
"trombidioidea","brachychthonioidea"
"veigaioidea","brachychthonioidea"
"formicidae","carabidae"
"linyphiidae","carabidae"
"bdelloidea","ceratozetoidea"
"carabidae","ceratozetoidea"
"chylopoda","ceratozetoidea"
"dermanyssoidea","ceratozetoidea"
"formicidae","ceratozetoidea"
"linyphiidae","ceratozetoidea"
"parasitoidea","ceratozetoidea"
"staphylinidae","ceratozetoidea"
"trombidioidea","ceratozetoidea"
"veigaioidea","ceratozetoidea"
"carabidae","chylopoda"
"bdelloidea","crotonioidea"
"carabidae","crotonioidea"
"chylopoda","crotonioidea"
"dermanyssoidea","crotonioidea"
"formicidae","crotonioidea"
"linyphiidae","crotonioidea"
"parasitoidea","crotonioidea"
"staphylinidae","crotonioidea"
"trombidioidea","crotonioidea"
"veigaioidea","crotonioidea"
"carabidae","dermanyssoidea"
"chylopoda","dermanyssoidea"
"formicidae","dermanyssoidea"
"linyphiidae","dermanyssoidea"
"parasitoidea","dermanyssoidea"
"staphylinidae","dermanyssoidea"
"trombidioidea","dermanyssoidea"
"carabidae","ecidomyiidae"
"formicidae","ecidomyiidae"
"linyphiidae","ecidomyiidae"
"bdelloidea","entomobroidea"
"carabidae","entomobroidea"
"chylopoda","entomobroidea"
"dermanyssoidea","entomobroidea"
"eupodoidea","entomobroidea"
"formicidae","entomobroidea"
"gryllotalpidae","entomobroidea"
"linyphiidae","entomobroidea"
"parasitoidea","entomobroidea"
"rhodacaroidea","entomobroidea"
"staphylinidae","entomobroidea"
"trombidioidea","entomobroidea"
"veigaioidea","entomobroidea"
"bdelloidea","epilohmannioidea"
"carabidae","epilohmannioidea"
"chylopoda","epilohmannioidea"
"dermanyssoidea","epilohmannioidea"
"formicidae","epilohmannioidea"
"linyphiidae","epilohmannioidea"
"parasitoidea","epilohmannioidea"
"staphylinidae","epilohmannioidea"
"trombidioidea","epilohmannioidea"
"veigaioidea","epilohmannioidea"
"bdelloidea","euphthiracaroidea"
"carabidae","euphthiracaroidea"
"chylopoda","euphthiracaroidea"
"dermanyssoidea","euphthiracaroidea"
"formicidae","euphthiracaroidea"
"linyphiidae","euphthiracaroidea"
"parasitoidea","euphthiracaroidea"
"staphylinidae","euphthiracaroidea"
"trombidioidea","euphthiracaroidea"
"veigaioidea","euphthiracaroidea"
"bdelloidea","eupodoidea"
"carabidae","eupodoidea"
"chylopoda","eupodoidea"
"dermanyssoidea","eupodoidea"
"formicidae","eupodoidea"
"linyphiidae","eupodoidea"
"parasitoidea","eupodoidea"
"staphylinidae","eupodoidea"
"trombidioidea","eupodoidea"
"veigaioidea","eupodoidea"
"bdelloidea","galumnioidea"
"carabidae","galumnioidea"
"chylopoda","galumnioidea"
"dermanyssoidea","galumnioidea"
"formicidae","galumnioidea"
"linyphiidae","galumnioidea"
"parasitoidea","galumnioidea"
"staphylinidae","galumnioidea"
"trombidioidea","galumnioidea"
"veigaioidea","galumnioidea"
"carabidae","gasteropoda"
"formicidae","gryllidae"
"linyphiidae","gryllidae"
"formicidae","gryllotalpidae"
"linyphiidae","gryllotalpidae"
"bdelloidea","hypogastruridae"
"carabidae","hypogastruridae"
"chylopoda","hypogastruridae"
"dermanyssoidea","hypogastruridae"
"eupodoidea","hypogastruridae"
"formicidae","hypogastruridae"
"gryllotalpidae","hypogastruridae"
"linyphiidae","hypogastruridae"
"parasitoidea","hypogastruridae"
"rhodacaroidea","hypogastruridae"
"staphylinidae","hypogastruridae"
"trombidioidea","hypogastruridae"
"veigaioidea","hypogastruridae"
"bdelloidea","isotomidae"
"carabidae","isotomidae"
"chylopoda","isotomidae"
"dermanyssoidea","isotomidae"
"eupodoidea","isotomidae"
"formicidae","isotomidae"
"gryllotalpidae","isotomidae"
"linyphiidae","isotomidae"
"parasitoidea","isotomidae"
"rhodacaroidea","isotomidae"
"staphylinidae","isotomidae"
"trombidioidea","isotomidae"
"veigaioidea","isotomidae"
"bdelloidea","lom_juv"
"carabidae","lom_juv"
"chylopoda","lom_juv"
"dermanyssoidea","lom_juv"
"formicidae","lom_juv"
"parasitoidea","lom_juv"
"staphylinidae","lom_juv"
"trombidioidea","lom_juv"
"bdelloidea","mesostigmata"
"carabidae","mesostigmata"
"chylopoda","mesostigmata"
"dermanyssoidea","mesostigmata"
"formicidae","mesostigmata"
"linyphiidae","mesostigmata"
"parasitoidea","mesostigmata"
"staphylinidae","mesostigmata"
"trombidioidea","mesostigmata"
"veigaioidea","mesostigmata"
"carabidae","miriapodo"
"chylopoda","miriapodo"
"bdelloidea","onychiuridae"
"carabidae","onychiuridae"
"chylopoda","onychiuridae"
"dermanyssoidea","onychiuridae"
"eupodoidea","onychiuridae"
"formicidae","onychiuridae"
"gryllotalpidae","onychiuridae"
"linyphiidae","onychiuridae"
"parasitoidea","onychiuridae"
"rhodacaroidea","onychiuridae"
"staphylinidae","onychiuridae"
"trombidioidea","onychiuridae"
"veigaioidea","onychiuridae"
"bdelloidea","oppioidea"
"carabidae","oppioidea"
"chylopoda","oppioidea"
"dermanyssoidea","oppioidea"
"formicidae","oppioidea"
"linyphiidae","oppioidea"
"parasitoidea","oppioidea"
"staphylinidae","oppioidea"
"trombidioidea","oppioidea"
"veigaioidea","oppioidea"
"bdelloidea","oribatido"
"carabidae","oribatido"
"chylopoda","oribatido"
