FAMILY,RESOURCE,n,freq
Tydeidae,carrion,1,0.058823529411764705
Tydeidae,coll.,1,0.058823529411764705
Tydeidae,humus,1,0.058823529411764705
Tydeidae,larvae,1,0.058823529411764705
Tydeidae,m.fau,2,0.11764705882352941
Tydeidae,mites,1,0.058823529411764705
Tydeidae,myco.,1,0.058823529411764705
Tydeidae,plant,1,0.058823529411764705
Tydeidae,sap. fun.,3,0.17647058823529413
Uropodidae,coll.,1,0.06666666666666667
Uropodidae,enchy.,1,0.06666666666666667
Uropodidae,m.fau,11,0.7333333333333333
Uropodidae,mites,1,0.06666666666666667
Uropodidae,sap. fun.,1,0.06666666666666667
Veigaiidae,coll.,13,0.3939393939393939
Veigaiidae,eggs,5,0.15151515151515152
Veigaiidae,enchy.,1,0.030303030303030304
Veigaiidae,larvae,1,0.030303030303030304
Veigaiidae,m.fau,5,0.15151515151515152
Veigaiidae,mites,7,0.21212121212121213
Veigaiidae,sap. fun.,1,0.030303030303030304
Xenocaligonellididae,coll.,1,0.3333333333333333
Xenocaligonellididae,m.fau,1,0.3333333333333333
Xenocaligonellididae,mites,1,0.3333333333333333
Zerconidae,enchy.,2,0.11764705882352941
Zerconidae,m.fau,14,0.8235294117647058
Zerconidae,sap. fun.,1,0.058823529411764705
Zetorchestidae,bac.,1,0.09090909090909091
Zetorchestidae,litter,1,0.09090909090909091
Zetorchestidae,myco.,1,0.09090909090909091
Zetorchestidae,plant,3,0.2727272727272727
Zetorchestidae,sap. fun.,5,0.45454545454545453
