"Size" "Top" "Basal" "Omnivory" "Links" "LD" "Connectance" "PathLength" "Clustering" "Cannib" "TLmean" "TLmax" "LOmnivory" "Components" "Vulnerability" "VulSD" "Generality" "GenSD" "sitio" "replica" "loc"
"1" 62 5 4 0.790322580645161 594 9.58064516129032 0.154526534859521 0.849195402298844 0.456554495228528 2 2.87508812832819 4.21094035000696 0.293731106828834 1 10.4210526315789 0.769262038191 10.2413793103448 1.19542433472894 "R" 1 "Luj"
"2" 46 3 4 0.760869565217391 361 7.84782608695652 0.170604914933837 0.891420664206641 0.421940928270042 3 2.885345514554 4.50000233841119 0.27746346690437 1 8.3953488372093 0.665599214981976 8.59523809523809 1.03899281725975 "R" 2 "Luj"
"3" 64 7 4 0.796875 654 10.21875 0.15966796875 0.851704545454542 0.441610907713673 3 2.89877749473864 4.21474016900476 0.294007188537584 1 11.4736842105263 0.710729380255882 10.9 1.14581937230142 "R" 3 "Luj"
"4" 72 4 4 0.763888888888889 988 13.7222222222222 0.190586419753086 0.762703330751354 0.572690552034416 3 3.00148171849479 4.3654138259442 0.324539033749168 1 14.5294117647059 0.626391920853694 14.5294117647059 1.17651801651416 "P" 1 "Luj"
"5" 58 3 4 0.775862068965517 543 9.36206896551724 0.16141498216409 0.819826435246992 0.46046162819765 2 2.86400767166825 4.2298618723317 0.282438138898165 1 9.87272727272727 0.788833674189401 10.0555555555556 1.12569102894276 "P" 2 "Luj"
"6" 56 3 4 0.75 527 9.41071428571429 0.168048469387755 0.813121546961322 0.468999228196553 2 2.86392554874667 4.21535715354748 0.277457240663914 1 9.94339622641509 0.68703262208521 10.1346153846154 1.18770884770163 "P" 3 "Luj"
"7" 61 4 4 0.754098360655738 609 9.98360655737705 0.163665681268476 0.812394705174483 0.52932612312812 3 2.91867698176002 4.3742758416706 0.295508689374512 1 10.6842105263158 0.748414715403806 10.6842105263158 1.13630374969464 "L" 1 "Luj"
"8" 56 3 4 0.785714285714286 637 11.375 0.203125 0.776936829558993 0.532239530132789 3 2.96314660755575 4.37670748200395 0.310005598406199 1 12.0188679245283 0.614837980218359 12.25 1.10568705390015 "L" 2 "Luj"
"9" 61 4 4 0.770491803278688 711 11.655737704918 0.191077667293738 0.817579681274896 0.525050100200401 3 3.00411468244002 4.34722606929853 0.32680154672141 1 12.4736842105263 0.616743378306212 12.4736842105263 1.06125349547498 "L" 3 "Luj"
"10" 24 5 4 0.583333333333333 97 4.04166666666667 0.168402777777778 1.02027972027972 0.401719901719902 2 2.49904914529914 3.87932234432234 0.20824610963797 1 5.10526315789474 0.990978543562715 4.85 0.849232968107084 "N" 1 "ChyN"
"11" 20 3 4 0.55 79 3.95 0.1975 1.00438596491228 0.404040404040404 2 2.43658008658009 3.86652236652236 0.204996276931342 1 4.64705882352941 0.846752833391466 4.9375 0.846752833391466 "N" 2 "ChyN"
"12" 29 10 4 0.689655172413793 137 4.72413793103448 0.162901307966706 0.977319587628867 0.382372881355932 2 2.57495177236557 3.99573343323344 0.238415293893829 1 7.21052631578947 1.23464669670797 5.48 0.725103982404915 "N" 3 "ChyN"
"13" 24 3 4 0.583333333333333 115 4.79166666666667 0.199652777777778 0.964242424242426 0.480220791168353 2 2.59178240740741 3.93320105820106 0.225260318455964 1 5.47619047619048 0.749889446935436 5.75 0.901274405243197 "G" 1 "ChyN"
"14" 27 11 4 0.62962962962963 127 4.7037037037037 0.174211248285322 0.977528089887642 0.413632842757552 2 2.60297336408448 3.96984126984127 0.252244661522372 1 7.9375 1.08428106515513 5.52173913043478 0.819471098652846 "G" 2 "ChyN"
"15" 30 5 4 0.7 183 6.1 0.203333333333333 0.920000000000002 0.519705500216544 2 2.76788933545878 4.20894807353141 0.256246987730754 1 7.32 0.835331851239712 7.03846153846154 0.87753201032529 "G" 3 "ChyN"
"16" 31 6 4 0.709677419354839 188 6.06451612903226 0.195629552549428 0.917175572519086 0.47568988173456 2 2.74283623485236 4.17339947089947 0.253912028128766 1 7.52 0.824468085106383 6.96296296296296 0.904162490020317 "A" 1 "ChyN"
"17" 30 7 4 0.666666666666667 154 5.13333333333333 0.171111111111111 0.940654205607479 0.422750424448217 2 2.62096474953618 3.9793856936714 0.241833431932896 1 6.69565217391304 1.06199281162763 5.92307692307692 0.85746848840435 "A" 2 "ChyN"
"18" 32 5 4 0.65625 193 6.03125 0.1884765625 0.891187739463603 0.488061513557264 2 2.69806579415954 4.06054470221137 0.261654877193784 1 7.14814814814815 0.835392488543331 6.89285714285714 0.961717392855088 "A" 3 "ChyN"
