"V1" "V2"
"1" 63.0412711283811 0
"2" 65.4039172639773 0.00583961617576279
"3" 224.44101304567 0.033655252078006
"4" 46.4539880543021 0.0232691831398597
"5" 45.6913864523826 160.172334313215
"6" 22.9991011449817 168.152610412485
"7" 81.1719368493518 200.176608198402
"8" 82.8474773563983 200.1980884907
"9" 42.400477136796 200.194822225068
"10" 32.1836657702036 200.173135630577
"11" 27.9818669226053 200.182317771185
"12" 393.640584652853 332.711031152301
"13" 384.711413681172 350.669011415345
"14" 30.4257211110221 160.172748773814
"15" 387.565523361919 332.718154793769
"16" 222.680165579658 120.114182668468
"17" 82.8904224966299 200.187174906293
"18" 27.4805197425296 200.175461479394
"19" 72.2290049306449 200.206191098192
"20" 414.757834338293 400.653944736903
"21" 366.974884960431 286.91288887398
"22" 30.6124703920742 120.115931899333
"23" 377.947112537739 400.640274202268
"24" 75.3112185992658 200.207733408161
"25" 19.2866624821563 200.180838842387
"26" 202.020278343438 160.166264367637
"27" 375.772209953943 411.426675035687
"28" 231.696307424601 210.206382076737
"29" 191.709825622292 120.107950924641
"30" 231.970321934229 0.0225832620340043
"31" 198.792173037175 120.117090499593
"32" 206.446819864144 160.145578419179
"33" 392.004877998182 400.624917691283
"34" 422.059237997179 400.625430587902
"35" 48.9679876082261 160.136000502268
"36" 396.699961389611 320.270699900851
"37" 214.376641862919 160.154899436589
"38" 242.765928695086 120.119047086915
"39" 64.9387559261185 200.186609547098
"40" 423.577142446157 300.286938323033
"41" 400.848469675862 120.116698164108
"42" 250.441295356854 200.179076847356
"43" 50.416514155175 200.171391778956
"44" 405.097777250487 332.713209610639
"45" 421.663423777735 120.114620533693
"46" 410.614583909276 400.622570651157
"47" 247.71785336948 354.469084111758
"48" 58.0380899299194 120.117457996392
"49" 415.350538265023 272.741351464425
"50" 49.8071140438514 160.149366722987
"51" 240.586344795163 380.633248615394
"52" 41.7530567037519 200.177661752115
"53" 23.817064173923 324.69104766443
"54" 243.205533636657 120.123333284025
"55" 403.309472192196 302.409871993395
"56" 402.640790164733 400.656892868237
"57" 390.973233016494 210.191739818575
"58" 26.0406911576412 200.1791109373
"59" 382.83289905758 400.620643517073
"60" 378.32582760309 347.075063231543
"61" 50.5073928203129 160.136091837792
"62" 58.0908449363432 160.148651014009
"63" 366.565769773115 160.171341898237
"64" 72.5518633605743 160.164296827297
"65" 38.3245538454332 160.172662914688
"66" 391.065691144881 160.162929871317
"67" 29.8134845895242 160.165642020826
"68" 248.961209928749 200.186828163432
"69" 193.53050682271 377.703109262139
"70" 192.890343086914 377.695924685164
"71" 368.228318139899 200.179326258367
"72" 197.785891962237 346.209189094441
"73" 27.4067651142389 200.172906396823
"74" 382.869081157789 240.206843504683
"75" 367.686046551952 120.108232393752
"76" 376.382629426658 240.236001338225
"77" 376.490387906643 272.750180361624
"78" 386.333608951975 329.058083177461
"79" 223.504799569636 311.37452698717
"80" 42.727029392496 200.195975526791
"81" 43.3720313848801 200.194971356087
"82" 373.630126476483 400.653885966568
"83" 418.12245302626 210.198677887455
"84" 57.9606172647459 160.136654154583
"85" 383.932253261538 200.187153071629
"86" 228.780144774751 200.191416676055
"87" 363.862348600628 200.203629605262
"88" 235.168519336519 120.125018041583
"89" 422.550335992912 400.621941906692
"90" 397.716470556118 332.727083708843
"91" 30.7260009035971 160.161050415652
"92" 398.349131725542 200.192121130499
"93" 416.927066628396 411.401627568887
"94" 27.927833380748 231.311666447137
"95" 49.3818018782131 160.148722715228
"96" 398.454797031727 400.638823661336
"97" 379.00103732385 352.143874700486
"98" 409.689639282814 210.189004092336
"99" 420.806147307403 411.423141212877
"100" 414.52234583321 217.992853817562
"101" 375.082419290641 168.151737810605
"102" 398.216702553807 220.190288888518
"103" 377.388042515626 332.695518510089
"104" 226.818969031808 160.168294433814
"105" 376.424185914072 400.631723802137
"106" 206.877495047039 120.132844033427
"107" 203.157960305468 120.113482818345
"108" 205.490308424748 160.142398317796
"109" 430.713337517844 400.651621249461
"110" 424.699644632406 332.725347625415
"111" 422.93603148657 346.204603775486
"112" 388.869386273558 400.629933251546
