"sitio" "replica" "microhabitat" "taxa" "body_mass" "gremio"
"97" "R" 2 "10" "juvenil" "27450" "detritivoro"
"98" "R" 1 "H" "oniscoidea" "26800" "detritivoro"
"99" "L" 1 "10" "diplopoda" "25600" "detritivoro"
"100" "R" 2 "10" "juvenil" "25500" "detritivoro"
"101" "R" 1 "20" "juvenil" "25350" "detritivoro"
"102" "R" 3 "H" "oniscoidea" "24800" "detritivoro"
"103" "P" 1 "10" "juvenil" "24750" "detritivoro"
"104" "P" 2 "10" "juvenil" "24450" "detritivoro"
"105" "R" 1 "H" "oniscoidea" "24400" "detritivoro"
"106" "L" 1 "10" "diplopoda" "24400" "detritivoro"
"107" "R" 2 "H" "oniscoidea" "24000" "detritivoro"
"108" "L" 1 "10" "diplopoda" "24000" "detritivoro"
"109" "P" 1 "H" "oniscoidea" "23600" "detritivoro"
"110" "P" 1 "10" "oniscoidea" "23600" "detritivoro"
"111" "R" 3 "10" "oniscoidea" "23600" "detritivoro"
"112" "L" 2 "H" "diplopoda" "23600" "detritivoro"
"113" "P" 1 "10" "diplopoda" "23600" "detritivoro"
"114" "P" 2 "10" "juvenil" "23250" "detritivoro"
"115" "P" 2 "10" "juvenil" "23250" "detritivoro"
"116" "P" 2 "20" "anthribidae" "23200" "detritivoro"
"117" "R" 1 "20" "cicadidae" "23200" "herbivoro"
"118" "R" 2 "10" "juvenil" "22950" "detritivoro"
"119" "P" 1 "H" "Aporrectodea_rosea" "22500" "detritivoro"
"120" "R" 2 "10" "diptera" "22400" NA
"121" "R" 1 "20" "nematomorpha" "22400" "predador"
"122" "L" 1 "10" "diplopoda" "22000" "detritivoro"
"123" "P" 2 "H" "oniscoidea" "21600" "detritivoro"
"124" "L" 3 "20" "oniscoidea" "21600" "detritivoro"
"125" "L" 1 "10" "tenebrionidae" "21600" "detritivoro"
"126" "L" 2 "10" "juvenil" "21450" "detritivoro"
"127" "L" 2 "H" "diplopoda" "21200" "detritivoro"
"128" "R" 2 "10" "juvenil" "20850" "detritivoro"
"129" "L" 2 "10" "diplopoda" "20400" "detritivoro"
"130" "L" 2 "10" "diplopoda" "20400" "detritivoro"
"131" "R" 1 "10" "juvenil" "20400" "detritivoro"
"132" "L" 1 "10" "diplopoda" "20000" "detritivoro"
"133" "R" 2 "10" "diplopoda" "19600" "detritivoro"
"134" "L" 2 "H" "diplopoda" "19600" "detritivoro"
"135" "L" 1 "10" "diplopoda" "19600" "detritivoro"
"136" "R" 2 "H" "larva_sciaridae" "19391,3587915594" "microfitofago"
"137" "P" 2 "20" "anthribidae" "19200" "detritivoro"
"138" "P" 2 "H" "juvenil" "19200" "detritivoro"
"139" "P" 2 "H" "larva_staphylinidae" "19200" "predador"
"140" "P" 1 "10" "juvenil" "19050" "detritivoro"
"141" "R" 2 "H" "larva_sciaridae" "18937,1999372878" "microfitofago"
"142" "L" 2 "10" "diplopoda" "18800" "detritivoro"
"143" "L" 2 "10" "diplopoda" "18800" "detritivoro"
"144" "R" 3 "20" "oniscoidea" "18400" "detritivoro"
"145" "P" 1 "10" "juvenil" "18300" "detritivoro"
"146" "P" 1 "10" "diplopoda" "18000" "detritivoro"
"147" "R" 2 "10" "juvenil" "18000" "detritivoro"
"148" "P" 1 "10" "juvenil" "17850" "detritivoro"
"149" "R" 3 "10" "juvenil" "17550" "detritivoro"
"150" "P" 2 "H" "oniscoidea" "17200" "detritivoro"
"151" "R" 2 "H" "oniscoidea" "17200" "detritivoro"
"152" "R" 2 "H" "oniscoidea" "17200" "detritivoro"
"153" "P" 1 "10" "oniscoidea" "16800" "detritivoro"
"154" "L" 2 "H" "diplopoda" "16800" "detritivoro"
"155" "P" 1 "20" "diplopoda" "16800" "detritivoro"
"156" "L" 1 "10" "ortoptero" "16800" "herbivoro"
"157" "P" 2 "10" "oniscoidea" "16400" "detritivoro"
"158" "P" 2 "10" "oniscoidea" "16400" "detritivoro"
"159" "L" 1 "H" "lycosidae" "16400" "predador"
"160" "L" 2 "20" "diplopoda" "16400" "detritivoro"
"161" "R" 2 "10" "oniscoidea" "16000" "detritivoro"
"162" "L" 2 "H" "diplopoda" "16000" "detritivoro"
"163" "L" 1 "H" "diplopoda" "15600" "detritivoro"
"164" "P" 2 "H" "tenebrionidae" "15600" "detritivoro"
"165" "P" 1 "10" "juvenil" "15600" "detritivoro"
"166" "R" 1 "10" "juvenil" "15450" "detritivoro"
"167" "R" 3 "H" "carabidae" "15200" "predador"
"168" "P" 1 "H" "oniscoidea" "15200" "detritivoro"
"169" "R" 2 "H" "oniscoidea" "15200" "detritivoro"
"170" "R" 1 "H" "diplopoda" "15200" "detritivoro"
"171" "L" 2 "10" "diplopoda" "15200" "detritivoro"
"172" "R" 2 "10" "oniscoidea" "14800" "detritivoro"
"173" "P" 3 "10" "linyphiidae" "14800" "predador"
"174" "R" 3 "H" "diplopoda" "14800" "detritivoro"
"175" "R" 3 "H" "gasteropoda" "14400" "microfitofago"
"176" "P" 2 "10" "oniscoidea" "14400" "detritivoro"
"177" "P" 2 "10" "oniscoidea" "14400" "detritivoro"
"178" "P" 1 "H" "oniscoidea" "14400" "detritivoro"
"179" "R" 2 "10" "oniscoidea" "14400" "detritivoro"
"180" "L" 1 "10" "diplopoda" "14400" "detritivoro"
"181" "L" 2 "10" "diplopoda" "14400" "detritivoro"
"182" "R" 2 "10" "juvenil" "14100" "detritivoro"
"183" "P" 1 "20" "hemiptera" "14000" "herbivoro"
"184" "R" 2 "10" "diplopoda" "14000" "detritivoro"
"185" "L" 1 "10" "diplopoda" "14000" "detritivoro"
"186" "R" 1 "10" "juvenil" "13950" "detritivoro"
"187" "P" 2 "10" "juvenil" "13800" "detritivoro"
"188" "P" 2 "10" "coleoptera" "13600" "detritivoro"
"189" "L" 2 "H" "diplopoda" "13600" "detritivoro"
"190" "L" 2 "H" "diplopoda" "13600" "detritivoro"
"191" "P" 1 "10" "tenebrionidae" "13600" "detritivoro"
"192" "R" 1 "10" "juvenil" "13500" "detritivoro"
"193" "R" 3 "10" "oniscoidea" "13200" "detritivoro"
"194" "L" 2 "10" "oniscoidea" "13200" "detritivoro"
"195" "L" 1 "10" "diplopoda" "13200" "detritivoro"
"196" "P" 1 "H" "oniscoidea" "12800" "detritivoro"
"197" "R" 2 "10" "oniscoidea" "12800" "detritivoro"
"198" "R" 3 "10" "juvenil" "12750" "detritivoro"
"199" "R" 2 "Frag" "larva_sciaridae" "12726,427140492" "microfitofago"
"200" "R" 1 "10" "juvenil" "12600" "detritivoro"
"201" "P" 3 "20" "oniscoidea" "12400" "detritivoro"
"202" "R" 2 "10" "oniscoidea" "12400" "detritivoro"
"203" "R" 2 "10" "oniscoidea" "12400" "detritivoro"
"204" "R" 2 "H" "oniscoidea" "12400" "detritivoro"
"205" "R" 2 "H" "oniscoidea" "12400" "detritivoro"
"206" "R" 1 "10" "oniscoidea" "12400" "detritivoro"
"207" "L" 1 "10" "diplopoda" "12400" "detritivoro"
"208" "P" 2 "10" "juvenil" "12300" "detritivoro"
"209" "R" 3 "20" "geophylomorpha" "12000" "predador"
"210" "R" 2 "10" "oniscoidea" "12000" "detritivoro"
"211" "L" 3 "10" "oniscoidea" "12000" "detritivoro"
"212" "R" 3 "20" "juvenil" "12000" "detritivoro"
"213" "R" 1 "10" "diplopoda" "12000" "detritivoro"
"214" "L" 1 "H" "diplopoda" "12000" "detritivoro"
"215" "L" 1 "10" "diplopoda" "12000" "detritivoro"
"216" "L" 2 "10" "diplopoda" "12000" "detritivoro"
"217" "P" 2 "10" "juvenil" "11850" "detritivoro"
"218" "R" 3 "H" "gasteropoda" "11600" "microfitofago"
"219" "R" 2 "10" "geophylomorpha" "11600" "predador"
"220" "R" 2 "10" "oniscoidea" "11600" "detritivoro"
"221" "R" 2 "H" "oniscoidea" "11600" "detritivoro"
"222" "R" 3 "10" "oniscoidea" "11600" "detritivoro"
"223" "R" 1 "10" "oniscoidea" "11600" "detritivoro"
"224" "R" 3 "20" "oniscoidea" "11600" "detritivoro"
"225" "R" 1 "10" "juvenil" "11400" "detritivoro"
"226" "R" 1 "20" "cicadidae" "11200" "herbivoro"
"227" "R" 2 "10" "oniscoidea" "11200" "detritivoro"
"228" "R" 3 "10" "oniscoidea" "11200" "detritivoro"
"229" "R" 3 "H" "oniscoidea" "11200" "detritivoro"
"230" "L" 1 "H" "diplopoda" "11200" "detritivoro"
"231" "L" 2 "10" "diplopoda" "11200" "detritivoro"
"232" "R" 3 "H" "larva_scarabaeidae" "11200" "detritivoro"
"233" "R" 2 "Frag" "larva_sciaridae" "11168,3558294051" "microfitofago"
"234" "R" 2 "10" "juvenil" "10950" "detritivoro"
"235" "R" 1 "Frag" "enquitreido" "10873,3965385434" "detritivoro"
"236" "P" 2 "20" "anthribidae" "10800" "detritivoro"
"237" "P" 1 "H" "oniscoidea" "10800" "detritivoro"
"238" "R" 2 "10" "oniscoidea" "10800" "detritivoro"
"239" "R" 2 "H" "oniscoidea" "10800" "detritivoro"
"240" "R" 2 "20" "oniscoidea" "10800" "detritivoro"
"241" "L" 1 "H" "diplopoda" "10800" "detritivoro"
"242" "L" 2 "10" "diplopoda" "10800" "detritivoro"
"243" "L" 2 "10" "diplopoda" "10800" "detritivoro"
"244" "L" 1 "Hoja" "pupa_diptera" "10506,6103725" "detritivoro"
"245" "P" 1 "H" "oniscoidea" "10400" "detritivoro"
"246" "R" 2 "H" "oniscoidea" "10400" "detritivoro"
"247" "R" 2 "H" "oniscoidea" "10400" "detritivoro"
"248" "R" 2 "H" "oniscoidea" "10400" "detritivoro"
"249" "R" 2 "H" "oniscoidea" "10400" "detritivoro"
"250" "R" 3 "H" "oniscoidea" "10400" "detritivoro"
"251" "L" 1 "H" "lycosidae" "10400" "predador"
"252" "L" 2 "10" "diplopoda" "10400" "detritivoro"
"253" "R" 3 "20" "diplopoda" "10400" "detritivoro"
"254" "R" 1 "10" "juvenil" "10350" "detritivoro"
"255" "P" 1 "10" "geophylomorpha" "10000" "predador"
"256" "P" 2 "10" "oniscoidea" "10000" "detritivoro"
"257" "P" 2 "10" "oniscoidea" "10000" "detritivoro"
"258" "P" 3 "H" "oniscoidea" "10000" "detritivoro"
"259" "R" 2 "H" "oniscoidea" "10000" "detritivoro"
"260" "R" 2 "H" "oniscoidea" "10000" "detritivoro"
"261" "R" 3 "10" "oniscoidea" "10000" "detritivoro"
"262" "R" 2 "H" "lycosidae" "10000" "predador"
"263" "L" 1 "10" "lycosidae" "10000" "predador"
"264" "L" 1 "10" "diplopoda" "10000" "detritivoro"
"265" "L" 2 "10" "diplopoda" "10000" "detritivoro"
"266" "R" 3 "10" "nematomorpha" "10000" "predador"
"267" "L" 1 "Hoja" "pupa_diptera" "9911,860199" "detritivoro"
"268" "R" 1 "10" "juvenil" "9900" "detritivoro"
"269" "R" 3 "10" "juvenil" "9900" "detritivoro"
"270" "R" 1 "10" "juvenil" "9750" "detritivoro"
"271" "P" 2 "10" "oniscoidea" "9600" "detritivoro"
"272" "P" 2 "10" "oniscoidea" "9600" "detritivoro"
"273" "P" 1 "10" "oniscoidea" "9600" "detritivoro"
"274" "R" 2 "10" "oniscoidea" "9600" "detritivoro"
"275" "R" 2 "10" "oniscoidea" "9600" "detritivoro"
"276" "R" 2 "20" "oniscoidea" "9600" "detritivoro"
"277" "L" 1 "10" "diplopoda" "9600" "detritivoro"
"278" "L" 2 "10" "diplopoda" "9600" "detritivoro"
"279" "P" 1 "H" "diplopoda" "9600" "detritivoro"
"280" "P" 3 "Frag" "oripodidae" "9395,37383530715" "detritivoro"
"281" "L" 2 "Hoja" "pupa_diptera" "9358,7296585" "detritivoro"
"282" "R" 2 "Frag" "larva_sciaridae" "9325,76722000231" "microfitofago"
"283" "R" 2 "20" "geophylomorpha" "9200" "predador"
"284" "P" 2 "10" "oniscoidea" "9200" "detritivoro"
"285" "P" 2 "10" "oniscoidea" "9200" "detritivoro"
"286" "P" 1 "H" "oniscoidea" "9200" "detritivoro"
"287" "R" 3 "10" "larva_curculionidae" "9200" "detritivoro"
"288" "L" 1 "10" "lycosidae" "9200" "predador"
"289" "L" 3 "H" "linyphiidae" "9200" "predador"
"290" "L" 1 "10" "staphylinidae" "9200" "predador"
"291" "P" 2 "10" "Eukerria_halophila" "9150" "detritivoro"
"292" "L" 1 "Hoja" "pupa_diptera" "9100,665106" "detritivoro"
"293" "L" 1 "Hoja" "pupa_diptera" "8996,259034" "detritivoro"
"294" "R" 2 "20" "carabidae" "8800" "predador"
"295" "P" 2 "10" "oniscoidea" "8800" "detritivoro"
"296" "P" 1 "10" "oniscoidea" "8800" "detritivoro"
"297" "R" 2 "10" "oniscoidea" "8800" "detritivoro"
"298" "R" 2 "10" "oniscoidea" "8800" "detritivoro"
"299" "R" 2 "10" "oniscoidea" "8800" "detritivoro"
"300" "R" 1 "H" "lycosidae" "8800" "predador"
"301" "L" 1 "10" "diplopoda" "8800" "detritivoro"
