"contraste" "valor estimado" "error estandar" "grados libertad" "razón t" "p.valor"
"1" "A detritivoro - G detritivoro" -0.0175611124502601 0.183388810499273 1006 -0.0957589091856272 0.967718320729957
"2" "A detritivoro - N detritivoro" 0.532703755575122 0.200248733708976 1006 2.66021035793069 0.0227654657573396
"3" "A detritivoro - A microfitofago" 0.836879640464797 0.176570518193719 1006 4.73963405117631 2.74276516070841e-05
"4" "A detritivoro - G microfitofago" 1.07689864366122 0.200248733708975 1006 5.377805011373 3.09406290146432e-06
"5" "A detritivoro - N microfitofago" 0.970248363510934 0.204870184499103 1006 4.73591784906691 2.74276516070841e-05
"6" "A detritivoro - A omnivoro" 1.03292493721016 0.226936427773751 1006 4.55160481436658 4.92858510544064e-05
"7" "A detritivoro - G omnivoro" 0.264106974912429 0.208572412106009 1006 1.26626034692543 0.377140528965397
"8" "A detritivoro - N omnivoro" 1.0894134413207 0.290379086067937 1006 3.75169388426901 0.00087535094222547
"9" "A detritivoro - A predador" 0.925092275670828 0.228154996196237 1006 4.05466586791355 0.000356947686691123
"10" "A detritivoro - G predador" 1.07286511510149 0.280488117648128 1006 3.82499310165928 0.000763548798377026
"11" "A detritivoro - N predador" 0.691210375947133 0.264198076306954 1006 2.61625817117632 0.0238211261165135
"12" "G detritivoro - N detritivoro" 0.550264868025382 0.201507547078857 1006 2.73074073900589 0.0223347018845899
"13" "G detritivoro - A microfitofago" 0.854440752915057 0.17799686534568 1006 4.80031348448573 2.74276516070841e-05
"14" "G detritivoro - G microfitofago" 1.09445975611148 0.201507547078855 1006 5.43135863632539 3.09406290146432e-06
"15" "G detritivoro - N microfitofago" 0.987809475961195 0.206100773104775 1006 4.79284701886597 2.74276516070841e-05
"16" "G detritivoro - A omnivoro" 1.05048604966042 0.228047973962498 1006 4.60642570686977 4.35746669131513e-05
"17" "G detritivoro - G omnivoro" 0.281668087362689 0.209781284363997 1006 1.34267500657475 0.338825342615661
"18" "G detritivoro - N omnivoro" 1.10697455377096 0.291248604809259 1006 3.80078920719957 0.00077626703825176
"19" "G detritivoro - A predador" 0.942653388121088 0.229260634359661 1006 4.11171063341937 0.00031149928557352
"20" "G detritivoro - G predador" 1.09042622755175 0.281388202168249 1006 3.87516683055445 0.000680703788388515
"21" "G detritivoro - N predador" 0.708771488397393 0.265153464435192 1006 2.67306139072013 0.0227654657573396
"22" "N detritivoro - A microfitofago" 0.304175884889675 0.195322767768119 1006 1.55729866192959 0.246910353548741
"23" "N detritivoro - G microfitofago" 0.544194888086102 0.2169640317321 1006 2.50822628866916 0.0311985880623465
"24" "N detritivoro - N microfitofago" 0.437544607935812 0.221236588768893 1006 1.97772262884092 0.11369108479861
"25" "N detritivoro - A omnivoro" 0.500221181635035 0.241813932526872 1006 2.06862018415522 0.0949343392058321
