Sitio	replica	estrato	UnidadTaxonómica	Largo	Ancho	body_mass
R	2	10	oniscoidea			12800
R	3	10	juvenil			12750
R	2	Frag	larva_sciaridae	9998.012	1299.286	12726.427140492
R	1	10	juvenil			12600
P	3	20	oniscoidea			12400
R	2	10	oniscoidea			12400
R	2	10	oniscoidea			12400
R	2	H	oniscoidea			12400
R	2	H	oniscoidea			12400
R	1	10	oniscoidea			12400
L	1	10	diplopoda			12400
P	2	10	juvenil			12300
R	3	20	geophylomorpha			12000
R	2	10	oniscoidea			12000
L	3	10	oniscoidea			12000
R	3	20	juvenil			12000
R	1	10	diplopoda			12000
L	1	H	diplopoda			12000
L	1	10	diplopoda			12000
L	2	10	diplopoda			12000
P	2	10	juvenil			11850
R	3	H	gastropoda			11600
R	2	10	geophylomorpha			11600
R	2	10	oniscoidea			11600
R	2	H	oniscoidea			11600
R	3	10	oniscoidea			11600
R	1	10	oniscoidea			11600
R	3	20	oniscoidea			11600
R	1	10	juvenil			11400
R	1	20	cicadidae			11200
R	2	10	oniscoidea			11200
R	3	10	oniscoidea			11200
R	3	H	oniscoidea			11200
L	1	H	diplopoda			11200
L	2	10	diplopoda			11200
R	3	H	larva_scarabidae			11200
R	2	Frag	larva_sciaridae	9507.173	1073.129	11168.3558294051
R	2	10	juvenil			10950
R	1	Frag	enquitreido	28856.37	797.499	10873.3965385434
P	2	20	anthribidae			10800
P	1	H	oniscoidea			10800
R	2	10	oniscoidea			10800
R	2	H	oniscoidea			10800
R	2	20	oniscoidea			10800
L	1	H	diplopoda			10800
L	2	10	diplopoda			10800
L	2	10	diplopoda			10800
L	1	Hoja	pupa_diptero	12987.955	2462.688	10506.6103725
P	1	H	oniscoidea			10400
R	2	H	oniscoidea			10400
R	2	H	oniscoidea			10400
R	2	H	oniscoidea			10400
R	2	H	oniscoidea			10400
R	3	H	oniscoidea			10400
L	1	H	lycosidae			10400
L	2	10	diplopoda			10400
R	3	20	diplopoda			10400
R	1	10	juvenil			10350
P	1	10	geophylomorpha			10000
P	2	10	oniscoidea			10000
P	2	10	oniscoidea			10000
P	3	H	oniscoidea			10000
R	2	H	oniscoidea			10000
R	2	H	oniscoidea			10000
R	3	10	oniscoidea			10000
R	2	H	lycosidae			10000
L	1	10	lycosidae			10000
L	1	10	diplopoda			10000
L	2	10	diplopoda			10000
R	3	10	nematomorpha			10000
L	1	Hoja	pupa_diptero	12253.242	2568.046	9911.860199
R	1	10	juvenil			9900
R	3	10	juvenil			9900
R	1	10	juvenil			9750
P	2	10	oniscoidea			9600
P	2	10	oniscoidea			9600
P	1	10	oniscoidea			9600
R	2	10	oniscoidea			9600
R	2	10	oniscoidea			9600
R	2	20	oniscoidea			9600
L	1	10	diplopoda			9600
L	2	10	diplopoda			9600
P	1	H	diplopoda			9600
P	3	Frag	oripodidae	632.456	377657	9395.37383530715
L	2	Hoja	pupa_diptero	11569.943	2216.937	9358.7296585
R	2	Frag	larva_sciaridae	8868.865	1357.777	9325.76722000231
R	2	20	geophylomorpha			9200
P	2	10	oniscoidea			9200
P	2	10	oniscoidea			9200
P	1	H	oniscoidea			9200
R	3	10	larva_curculionidae			9200
L	1	10	lycosidae			9200
L	3	H	linyphiidae			9200
L	1	10	staphylinidae			9200
P	2	10	Eukerriahalophila			9150
