Sitio	replica	estrato	UnidadTaxonómica	Largo	Ancho	body_mass
P	3	humus	trip	3062.717	489.847	486.110670459303
R	2	10	enquitreido	1707.257	153.808	484.873167232718
P	3	humus	tardigrado	811.185	209.012	484.455868543355
P	3	hoja	afido	2777.037	1413.281	484.283884020288
R	1	10	tardigrado	810.94	258.774	484.017044440563
P	3	hoja	tardigrado	808.901	209.644	480.375228602812
R	1	10	tardigrado	805.889	248.184	475.029051711751
L	1	10	enquitreido	1674.312	203.737	474.590879250721
P	1	hoja	tardigrado	802.899	197.475	469.761302687352
P	2	Frag	trip	2997.497	427.315	468.917777170199
P	1	20	formicidae	2760.718	676.978	467.442588681845
P	3	hoja	tardigrado	801.234	298.142	466.844877161483
P	3	hoja	tardigrado	801.234	248.452	466.844877161483
P	3	humus	tardigrado	800	295.588	464.6912
P	3	humus	tardigrado	798.634	324.642	462.31488151462
P	1	10	formicidae	2744.764	929.853	461.133400138603
P	3	Frag	tardigrado	796.97	225.237	459.431119195884
P	1	Hoja	larva_diptero	2777.087	289.586	458.600692154145
L	3	H	afido	2694.426	1249.201	451.831550318273
P	2	Frag	trip	2927.029	438.112	450.622365943444
P	3	humus	tardigrado	790.731	163.578	448.725534091328
P	3	humus	tardigrado	790.731	413.427	448.725534091328
P	3	hoja	tardigrado	789.124	315.837	445.995260080396
P	1	hoja	tardigrado	788.738	334.825	445.341104428395
L	1	10	formicidae	2701.604	471.391	444.311202327018
P	3	humus	formicidae	2691.363	569.871	440.372189335872
L	1	10	formicidae	2684.359	518.453	437.689806911987
L	3	10	enquitreido	1555.046	163.451	437.539154533727
P	1	10	formicidae	2670.184	1033.86	432.289823055012
L	2	humus	afido	2638.099	1124.415	430.430482576265
P	3	hoja	tardigrado	779.047	302.255	429.126629655634
P	3	humus	tardigrado	778.201	345.028	427.730127147875
P	3	humus	tardigrado	778.201	252.766	427.730127147875
P	3	humus	tardigrado	776.797	297.429	425.419219201407
P	3	humus	tardigrado	773.98	266.439	420.807723822716
P	3	humus	tardigrado	773.627	251.684	420.232215200787
P	3	humus	formicidae	2635.597	556.905	419.274922207665
R	2	Hoja	enquitreido	1493.144	200.629	418.418830775452
P	3	10	tardigrado	771.423	264.614	416.65081616703
P	3	Frag	tardigrado	769.466	282.705	413.48788661124
R	3	10	enquitreido	1475.964	274.199	413.126163592554
R	1	Hoja	enquitreido	1461.951	315.48	408.813714902737
P	1	humus	trip	2754.295	302.711	407.024415079994
P	3	humus	tardigrado	764.038	350.524	404.798937982101
P	3	10	formicidae	2595.272	568.097	404.38821142107
P	1	hoja	tardigrado	763.52	340	403.976163251506
P	3	humus	formicidae	2593.261	470.189	403.653885835754
L	1	10	staphylinidae	2600.894	636.78	400.473976944249
L	2	10	formicidae			400
P	3	hoja	tardigrado	760.117	302.255	398.598650574245
P	2	10	formicidae	2556.19	547.305	390.254123486127
R	2	10	formicidae	2551.449	955.633	388.559123054919
R	2	10	formicidae	2551.449	955.633	388.559123054919
P	3	humus	tardigrado	753.603	280.419	388.438566919675
P	3	Frag	tardigrado	750.674	280.766	383.92695950491
P	3	humus	formicidae	2534.412	411.496	382.502954440551
P	1	Frag	afido	2504.298	1546.886	381.929906193194
L	3	Frag	larva_diptero	2584.422	325.801	380.561586116292
P	3	hoja	tardigrado	745.025	201.231	375.324595869568
R	2	Hoja	tardigrado	742.084	274.028	370.897316320072
P	3	10	formicidae	2501.16	550.075	370.839682466335
P	3	10	tardigrado	741.41	254.359	369.887628156027
R	1	humus	larva_diptero	2547.752	329.781	366.711053758747
R	2	humus	tardigrado	738.731	246.974	365.892459516244
R	3	H	insecto_polinizador	2488.905	955.972	359.339746026144
P	1	hoja	trip	2549.678	451.602	357.714292298924
P	3	10	tardigrado	733.176	190.415	357.700220454532
R	3	H	entomobriidae	4890.85	1188.823	357.6521651877
P	3	humus	tardigrado	731.915	261.265	355.857751641403
P	3	10	formicidae	2454.216	327.116	354.725482146748
P	3	humus	trip	2535.386	332.312	354.366229350077
R	3	Hoja	larva_diptero	2511.773	577.565	353.426918096578
R	2	humus	enquitreido	1270.286	137.847	350.260385736098
P	3	humus	tardigrado	727.8	266.439	349.889283468835
P	1	humus	tardigrado	725.71	266.671	346.883633625863
P	3	humus	formicidae	2426.365	480.74	345.358802247817
P	1	10	formicidae	2425.747	731.291	345.152589372124
P	3	humus	tardigrado	721.773	356.701	341.268641131996
L	3	Frag	larva_diptero	2465.661	343.955	336.839671271045
R	1	Frag	larva_diptero	2464.584	195.797	336.458100995586
P	3	Frag	tardigrado	718.263	224.89	336.314020283572
R	3	10	gasteropoda	2964.848	2261.981	334.295031085927
R	3	Frag	insecto_suctor	2409.913	936.708	331.904490354754
P	3	10	tardigrado	713.983	261.135	330.337669942905
P	3	hoja	tardigrado	709.025	267.591	323.503611102625
R	2	10	tardigrado	707.132	268.116	320.919391419579
P	3	10	trip	2376.159	352.867	317.928230870699
P	3	humus	tardigrado	702.604	234.848	314.793923877779
R	2	10	tardigrado	702.535	257.828	314.701188933041
R	3	Frag	gasteropoda	2848.02	2034.569	312.362188475761
P	3	Frag	tardigrado	699.324	238.696	310.405770425605
P	1	humus	enquitreido	1127.948	192.734	307.338767363712
L	3	H	blattodea	2599.801	564.709	306.782942011396
R	2	Hoja	enquitreido	1125.779	183.339	306.688729400133
R	1	10	tardigrado	695.695	202.007	305.59844033176
R	1	10	enquitreido	1108.573	158.232	301.536635901187
P	3	hoja	tardigrado	692.107	339.208	300.894474368076
R	1	10	juvenil			300
R	1	10	juvenil			300
P	3	hoja	tardigrado	690.321	267.591	298.571082367124
P	2	Frag	trip	2276.146	594.345	295.860540655166
R	1	humus	tardigrado	688.097	271.961	295.69465917497
R	1	Frag	larva_diptero	2338.779	440.945	293.696754958187
P	3	hoja	tardigrado	686.016	240.37	293.019971604392
P	3	humus	formicidae	2260.741	411.496	292.600969445817
R	1	humus	tardigrado	685.657	223.697	292.560190214019
R	2	10	enquitreido	1068.761	127.672	289.64632071427
P	3	humus	formicidae	2247.589	335.636	288.625365361212
P	1	20	formicidae	2241.41	915.188	286.768331441475
P	3	hoja	tardigrado	680.232	289.742	285.670676137725
L	1	H	carabidae	2267.131	706.221	285.55905328639
R	2	humus	tardigrado	679.43	311.542	284.661441635168
L	1	humus	larva_sciaridae	2300.772	281.759	281.474555059013
P	1	humus	tardigrado	674.552	199.541	278.574134604267
P	1	humus	tardigrado	674.552	196.024	278.574134604267
L	1	Frag	parasitidae	1837.091	1027.988	277.703897005637
P	3	humus	formicidae	2206.001	443.409	276.25883851071
P	3	hoja	tardigrado	671.83	239.361	275.215358483711
P	3	10	tardigrado	670.247	317.212	273.274509546171
P	3	hoja	tardigrado	668.147	253.372	270.713899979148
L	1	Frag	larva_diptero	2265.71	731.795	270.481194046811
P	3	Frag	tardigrado	665.352	263.559	267.330731798809
P	1	humus	tardigrado	665.208	290.392	267.157196762488
P	3	humus	afido	2139.425	604.46	266.016115981217
R	1	10	enquitreido	987.418	106.309	265.491427485881
R	1	humus	tardigrado	663.733	309.524	265.383990118413
P	3	Frag	tardigrado	662.177	240.325	263.521930273241
P	2	hoja	trip	2122.299	443.575	263.173213107666
P	1	humus	tardigrado	659.828	238.809	260.72742187029
P	2	Frag	trip	2110.082	429.987	260.64375673386
R	2	humus	tardigrado	658.959	280.114	259.698636204019
P	3	humus	tardigrado	658.056	238.31	258.63246975506
R	3	H	entomobriidae	4293.847	1029.142	258.29524638218
R	1	humus	trip	2093.868	281.417	257.301937443106
P	3	humus	tardigrado	654.728	233.682	254.728319275877
P	3	humus	tardigrado	654.728	233.682	254.728319275877
R	1	humus	tardigrado	653.025	420.496	252.745778657087
L	2	10	formicidae	2117.588	416.702	250.994597295734
P	3	Frag	insecto_suctor	2131.53	1021.365	245.322545535333
L	2	humus	trip	2034.127	367.738	245.139127977026
P	1	humus	tardigrado	646.249	362.076	244.959416836152
P	1	Frag	afido	2058.961	1032.676	243.595156706295
P	3	Frag	tardigrado	642.434	238.696	240.646771336776
P	3	humus	formicidae	2074.627	345.965	239.217618935928
L	3	H	afido	2039.322	1123.93	238.291549661863
P	2	Frag	larva_diptero	2155.166	329.854	237.563411768327
R	2	Hoja	tardigrado	637.208	230.177	234.821655818376
P	3	Frag	tardigrado	637.066	240	234.664702775201
L	1	Frag	parasitidae	1580.149	1222.522	234.451726871329
P	3	hoja	tardigrado	636.348	239.341	233.872165894406
P	3	humus	tardigrado	635.685	281.391	233.141925126972
L	1	Frag	trip	1972.761	463.497	232.893334926979
R	2	humus	tardigrado	634.564	262.324	231.910695097498
P	1	hoja	tardigrado	633.54	171.274	230.78979851113
R	1	10	formicidae	2042.402	561.521	230.596133073489
L	1	Frag	afido	2007.475	935.803	229.830943698346
P	3	humus	tardigrado	631.375	292.803	228.431836734468
R	2	humus	tardigrado	626.69	225.975	223.384369436487
P	2	humus	trip	1923.764	440.791	223.297832755855
L	3	Frag	afido	1982.355	943.645	223.279039757329
P	3	20	linyphiidae	1993.629	986.071	221.436784996673
R	2	humus	tardigrado	623.818	213.968	220.327239494456
L	2	Frag	trip	1905.533	477.561	219.769050917178
P	3	Frag	trip	1898.13	427.303	218.342591218162
P	1	humus	tardigrado	621.424	303.278	217.800340094089
L	1	Frag	parasitidae	1676.488	962.379	217.013430132575
P	3	10	tardigrado	620.375	173.505	216.699221861987
P	3	hoja	trip	1884.754	363.666	215.774697506711
R	3	Frag	carabidae	2022.453	796.049	215.556151487755
R	2	humus	tardigrado	619.057	281.368	215.321007618411
P	3	humus	tardigrado	617.382	182.512	213.577932040499
L	3	Frag	larva_diptero	2065.11	365.905	212.66088692573
L	1	Frag	parasitidae	1640.353	990.878	212.498009525093
P	3	hoja	tardigrado	614.636	289.742	210.740724478775
R	2	humus	tardigrado	612.883	260.709	208.942704935249
P	3	10	tardigrado	612.822	216.185	208.880323192788
L	1	Hoja	afido	1922.783	778.237	208.167390813731
P	3	10	tardigrado	611.736	208.35	207.771800955836
P	3	humus	larva_diptero	2043.052	408.121	206.818033475156
P	3	10	tardigrado	608.328	156.893	204.318601278151
P	3	Frag	tardigrado	607.209	225.237	203.193161332279
R	1	humus	tardigrado	602.395	310.083	198.398581457731
P	3	humus	trip	1789.553	288.527	197.853326227291
P	3	Frag	tardigrado	599.837	199.902	195.881869497313
R	1	20	entomobriidae	3842.029	843.351	195.614748944503
R	1	H	entomobriidae	3842.029	843.351	195.614748944503
R	1	H	entomobriidae	3842.029	843.351	195.614748944503
R	1	H	entomobriidae	3842.029	843.351	195.614748944503
L	2	20	entomobriidae	3842.029	843.351	195.614748944503
R	1	20	isotomidae	3842.029	843.351	195.614748944503
R	1	20	isotomidae	3842.029	843.351	195.614748944503
R	1	20	isotomidae	3842.029	843.351	195.614748944503
R	1	20	isotomidae	3842.029	843.351	195.614748944503
R	1	20	isotomidae	3842.029	843.351	195.614748944503
R	1	20	isotomidae	3842.029	843.351	195.614748944503
R	1	20	isotomidae	3842.029	843.351	195.614748944503
R	1	20	isotomidae	3842.029	843.351	195.614748944503
R	1	20	isotomidae	3842.029	843.351	195.614748944503
R	1	20	isotomidae	3842.029	843.351	195.614748944503
P	3	10	formicidae	1902.535	289.9	195.260843612394
P	3	Frag	tardigrado	598.274	174.915	194.354623182105
P	2	Frag	galumnidae	1323.967	973.425	191.921878305384
R	3	Frag	carabidae	1927.83	755.955	191.565159814524
L	3	Frag	ologamasidae	1637.415	873.509	190.429986886882
L	1	Frag	larva_diptero	1975.636	498.912	189.575842858968
L	1	humus	larva_sciaridae	1971.912	335.179	188.650179409602
L	3	Frag	ologamasidae	1757.265	723.897	188.502572393186
L	1	humus	larva_sciaridae	1966.716	326.372	187.36327492234
R	3	humus	eremobelbidae	1918.374	622.652	187.221382073226
R	2	humus	tardigrado	590.226	303.177	186.616266771299
R	2	Hoja	tardigrado	589.263	221.188	185.70431908844
R	1	Frag	galumnidae	1264.747	996.341	184.109890702713
P	1	Frag	galumnidae	1263.597	993.081	182.997199233866
P	3	humus	tardigrado	586.073	261.265	182.704662228599
R	3	Frag	gasteropoda	2056.321	1688.847	180.254979795137
P	3	Frag	tardigrado	581.873	212.396	178.804771485263
R	1	humus	tardigrado	580.909	292.437	177.917555241755
L	1	humus	larva_sciaridae	1924.365	311.529	177.075074759706
P	3	Frag	tardigrado	579.722	218.197	176.829139151488
L	3	Frag	afido	1790.086	782.007	176.637297070194
R	3	Hoja	larva_diptero	1917.088	462.102	175.343136475854
L	3	Frag	afido	1780.674	953.339	174.511453692342
P	3	Frag	tardigrado	574.855	177.572	172.412768930433
L	1	humus	larva_sciaridae	1901.534	362.58	171.676265624159
P	1	H	juvenil	11580.795	768.284	171.650701091054
P	3	humus	tardigrado	572.88	292.803	170.641817989855
R	3	humus	larva_diptero	1895.995	243.395	170.381924676764
L	2	Frag	trip	1636.095	452.982	170.297095774809
R	1	humus	tardigrado	572.492	259.79	170.295336038273
R	2	Frag	tardigrado	569.482	233.638	167.623340772666
P	3	humus	tardigrado	565.685	264.382	164.292779082564
P	3	hoja	tardigrado	565.685	240.37	164.292779082564
L	3	Frag	dermanisoidea	1560.538	815.556	162.571153235813
P	1	10	tardigrado	563.138	182.274	162.083568413488
P	3	10	tardigrado	563.033	216.185	161.992921351976
L	3	H	entomobriidae	3560.879	1032.125	161.768158273753
P	3	Frag	tardigrado	562.364	213.861	161.416163619478
L	3	Frag	afido	1719.196	706.502	160.981884284073
P	3	Frag	tardigrado	561.531	150.446	160.699933946223
R	2	humus	tardigrado	561.358	259.218	160.551451363864
L	3	Frag	trip	1575.74	433.078	159.918568187365
L	1	H	cunaxide	1530.85695	836.12256	159.47734737133
P	2	10	tardigrado	558.855	144.359	158.413398004947
L	3	Frag	afido	1704.521	693.341	157.843222114586
R	2	Hoja	tardigrado	557.26	210.564	157.060906258957
L	1	Frag	larva_diptero	1833.612	441.236	156.217254869437
P	3	hoja	tardigrado	556	274.874	155.9979394816
P	3	hoja	tardigrado	555.556	236.225	155.624516159421
P	1	Frag	galumnidae	1255.111	889.213	155.07192425863
P	1	humus	tardigrado	553.97	250.534	154.29548795742
R	2	H	entomobriidae	3480.412	891.219	152.783566389779
P	1	hoja	tardigrado	551.256	197.308	152.038814853567
L	2	humus	hipogastruridae	2931.767	790.484	151.767962206269
P	2	10	tardigrado	550.892	134.384	151.73783530682
P	3	hoja	tardigrado	550.196	179.161	151.16344234833
P	3	Frag	tardigrado	549.306	242.588	150.431059947805
R	2	10	arannae	1703.034	743.105	150.099704811027
R	2	10	juvenil			150
P	3	Frag	tardigrado	548.595	180.19	149.847679629165
L	3	Frag	oribatulidae	1381.317	770.383	148.157825812667
L	1	humus	larva_sciaridae	1788.167	320.744	146.370236643571
P	3	10	tardigrado	543.646	154.758	145.828724789154
L	3	H	mesostigmata	1479.029	817.937	145.685012536073
L	1	humus	larva_sciaridae	1783.717	230.977	145.427125374797
P	3	Frag	tardigrado	542.443	223.498	144.862779817964
R	2	Hoja	tardigrado	542.231	215.941	144.692998430924
P	1	humus	tardigrado	541.27	179.349	143.925039694937
R	1	humus	tardigrado	541.046	190.19	143.746427160663
L	1	10	entomobriidae	3394.707	975.524	143.550840540167
P	3	hoja	tardigrado	540.69	245.452	143.462864964898
L	1	Frag	cicadidae	1710.754	519.487	143.420565017962
L	3	H	mesostigmata	1495.869	779.113	143.202579349641
P	3	Frag	tardigrado	538.544	240.325	141.761422459038
P	2	Frag	galumnidae	1257.503	831.778	141.669062758123
P	1	humus	tardigrado	538.209	289.192	141.497039930064
P	1	humus	tardigrado	538.209	183.186	141.497039930064
R	2	Hoja	psocoptera	1703.589	371.27	141.276736805202
L	1	H	mesostigmata	1474.15	789.53	140.449654861705
P	3	Frag	tardigrado	536.656	246.101	140.275703387138
L	1	H	mesostigmata	1457.959	803.964	139.349483471978
P	3	Frag	tardigrado	534.762	180.19	138.795729494626
L	3	H	mesostigmata	1459.065	796.189	138.435827025731
L	1	Frag	larva_sciaridae	1749.051	388.986	138.207929157411
L	3	Frag	ologamasidae	1502.025	727.763	136.397295894087
P	2	Frag	galumnidae	1171.773	875.971	135.853884227742
P	1	hoja	tardigrado	530.374	237.353	135.407015210777
P	2	humus	tardigrado	530.225	228.768	135.292926033466
P	3	humus	tardigrado	529.795	188.401	134.964034761186
P	1	humus	tardigrado	529.579	185.075	134.799025573008
L	3	10	omnivoro	8030.673	341.157	134.247335971531
L	3	H	mesostigmata	1467.471	754.677	133.945635057258
P	1	Hoja	tardigrado	527.997	169.176	133.594584028913
L	3	Frag	hipogastruridae	2785.578	708.403	133.209155706306
P	3	Frag	tardigrado	527.118	150.694	132.928476533558
R	3	Frag	eupthiracaroidea	1518.161	669.031	132.558939755745
P	1	hoja	tardigrado	526.289	203.942	132.302291373981
P	3	Frag	tardigrado	525.338	215.678	131.586379044917
P	1	hoja	tardigrado	524.337	196.58	130.835621565943
L	3	Frag	larva_diptero	1709.501	296.018	130.245726421428
R	3	Frag	uropodidae	1275.358	1028.317	129.549792449516
P	3	humus	tardigrado	522.53	234.848	129.487598404196
R	2	humus	tardigrado	522.362	251.775	129.362742856444
P	2	Frag	larva_diptero	1705.023	331.024	129.362461314816
P	1	10	tardigrado	521.501	182.918	128.724117719384
R	3	Frag	carabidae	1640.161	740.721	128.674570551272
L	3	Frag	afido	1555.096	448.784	127.852608433398
R	2	humus	tardigrado	519.048	256.212	126.916197858638
P	1	humus	tardigrado	516.952	184.604	125.38487370653
P	1	humus	tardigrado	516.952	219.459	125.38487370653
P	3	10	tardigrado	515.861	206.344	124.592693377172
R	2	10	tardigrado	515.798	244.281	124.547050959269
L	1	humus	larva_sciaridae	1679.051	229.395	124.312198655178
P	3	hoja	tardigrado	515.441	189.867	124.288621129098
L	1	Frag	ologamasidae	1429.466	735.214	124.045149625958
R	2	humus	tardigrado	514.687	233.336	123.743981099226
L	3	Frag	dermanisoidea	1442.221	711.165	122.888296805221
P	3	10	tardigrado	513.437	236.749	122.844572631502
R	2	Hoja	tardigrado	512.573	138.242	122.225455554814
L	3	humus	tardigrado	510.14	179.023	120.493222858799
P	3	hoja	tardigrado	507.718	240.37	118.785155089149
L	2	10	entomobriidae	3146.371	691.696	118.720256529443
P	3	Frag	tardigrado	505.964	229.358	117.558311373556
R	3	Frag	uropodidae	1239.274	983.827	117.557513941923
R	2	humus	tardigrado	505.365	166.586	117.141281135924
R	1	humus	tardigrado	503.771	346.684	116.036328078684
R	2	humus	tardigrado	503.55	237.376	115.883682648503
R	1	Frag	entomobridae	3101.281	801.119	114.512473627996
P	1	humus	tardigrado	501.242	278.159	114.297531185468
R	1	Frag	galumnidae	1054.556	871.186	113.654873308079
L	1	H	mesostigmata	1453.841	635.173	113.649771771741
R	1	Frag	galumnidae	1039.441	883.991	113.318996047096
L	1	10	entomobriidae	3080.259	925.771	112.58177405491
R	3	Frag	eupthiracaroidea	1211.126	750.82	111.920459969585
P	3	Frag	tardigrado	497.408	252.982	111.694756311708
R	2	humus	tardigrado	496.862	177.834	111.32734112084
R	1	humus	tardigrado	496.375	240.382	111.000308913562
L	1	Frag	ologamasidae	1370.209	712.681	110.610234697293
L	3	Frag	oribatulidae	1075.049	834.368	110.375953192117
L	3	Frag	hipogastruridae	2584.814	814.669	110.07652427358
P	3	humus	epilhomanioidea	1268.66	661.969	110.009597064037
P	3	humus	eremobelbidae	1156.821	763.926	109.8557983818
R	1	humus	trip	1258.678	276.99	109.818163428763
R	3	Frag	eupthiracaroidea	1278.6	701.525	109.599886830904
L	3	10	omnivoro	10186.757	273.642	109.558636529314
R	3	humus	eupthiracaroidea	1291.595	692.491	109.123161250406
R	2	humus	tardigrado	491.804	237.672	107.961934360313
P	3	Frag	tardigrado	489.978	176.69	106.76385067157
P	3	Frag	tardigrado	489.978	237.055	106.76385067157
P	3	Frag	tardigrado	489.818	201.458	106.659295128682
R	2	Hoja	afido	1432.067	557.863	105.803062538991
L	3	Frag	hipogastruridae	2538.921	748.96	105.161174712094
L	3	Frag	larva_diptero	1570.973	261.488	104.6046562346
L	2	humus	hipogastruridae	2533.382	548.102	104.577133937295
L	3	10	omnivoro	6821.718	326.546	104.478675749877
P	3	humus	limnozetidae	1268.66	661.696	104.088968675335
R	1	10	galumnidae	1057.035	814.603	103.850639257274
P	1	humus	tardigrado	485.202	312.595	103.672180808789
P	1	humus	tardigrado	485.202	190.171	103.672180808789
P	3	Frag	galumnidae	1046.433	821.653	103.408520937883
R	3	Frag	eupthiracaroidea	1365.275	631.983	103.28233747125
R	1	Frag	galumnidae	1070.639	796.212	102.688533945474
L	3	Frag	hipogastruridae	2509.988	690.435	102.132201918585
L	3	Frag	hipogastruridae	2507.881	596.882	101.913721168425
L	3	Frag	hipogastruridae	2502.617	549.114	101.369124449863
L	3	Frag	hipogastruridae	2502.617	549.114	101.369124449863
P	1	humus	tardigrado	481.244	158.232	101.155725891422
L	3	H	mesostigmata	1327.051	690.549	100.748226536246
R	1	10	uropodidae	1146.509	993.155	100.709892811347
R	3	Frag	gasteropoda	1456.44	1237.119	100.699594013833
L	1	Hoja	trip	1192.792	316.896	100.371887003788
P	3	10	tardigrado	479.951	183.294	100.342563014986
P	3	Frag	eremobelbidae	1096.436	761.042	100.185527839531
P	2	20	entomobriidae	2926.568	958.586	99.0595952011892
R	1	Frag	galumnidae	1004.577	835.243	99.0400400850059
P	3	hoja	tardigrado	477.131	191.163	98.5842167120456
R	2	humus	tardigrado	477.12	225.819	98.577398450081
L	2	Frag	larva_sciaridae	1535.226	235.329	98.541086248402
L	3	Frag	hipogastruridae	2473.009	780.012	98.3389409886376
R	3	10	eremobelbidae	955.825	879.288	98.1875854870905
R	2	humus	tardigrado	476.085	255.799	97.9372673984268
P	3	Frag	tardigrado	475.754	274.297	97.7331355573511
R	3	Frag	symphypleona	2965.252	1189.957	97.6812248461524
P	1	humus	tardigrado	475.429	204.702	97.5329801681548
P	3	Frag	tardigrado	474.11	181.914	96.7234622993631
L	3	Frag	hipogastruridae	2453.578	691.84	96.3806088943799
R	1	10	galumnidae	998.979	823.592	96.2361543006276
R	3	humus	eupthiracaroidea	1359.817	603.535	95.6664964961626
L	1	humus	galumnidae	1039.555	778.092	94.7973562000797
R	3	Frag	eupthiracaroidea	1360.622	599.247	94.7142507450209
L	3	Frag	hipogastruridae	2436.289	577.231	94.6582456241811
R	3	10	eremobelbidae	1096.5	725.295	93.6687098824912
L	3	Frag	afido	1354.896	611.757	93.1629552453773
L	1	Hoja	paholaspidae	1289.875	674.198	93.0475453217564
P	2	humus	tardigrado	467.539	171.808	92.7572827932409
P	1	humus	psocoptera	1434.141	588.19	92.4575121467924
R	3	Frag	eupthiracaroidea	1232.809	647.841	91.7650397723457
L	1	H	entomobriidae	2837.951	1073.608	91.7301770331402
L	2	humus	hipogastruridae	2406.087	1015.75	91.6946258842141
L	1	humus	larva_sciaridae	1486.553	333.273	90.6396269694713
L	3	Frag	hipogastruridae	2392.484	606.315	90.3784850461539
L	1	10	mesostigmata	1350.168	580.737	90.3092464735585
R	1	20	isotomidae	2816.698	377.347	90.0224262129278
R	3	Frag	enquitreido	369.252	302.061	89.9817635560353
P	3	humus	tardigrado	462.668	149.63	89.8882397993956
L	2	Frag	astigmata	1208.1	651.062	89.6436635122632
R	3	Frag	eupthiracaroidea	1285.197	611.123	89.4459002387151
R	1	10	galumnidae	978.059	800.254	89.3244546663824
R	3	humus	eupthiracaroidea	1091.735	715.29	88.6619040264231
R	3	Frag	eupthiracaroidea	1256.025	621.414	88.5931913715965
R	3	Frag	eupthiracaroidea	1152.698	676.78	88.5257197775505
P	1	Frag	eremobelbidae	1077.274	709.507	88.2607794611832
P	3	humus	larva_diptero	1471.075	454.32	88.2115603513426
R	3	humus	eupthiracaroidea	1280.65	604.693	87.5340546305981
R	1	Frag	eupthiracaroidea	1289.644	596.964	86.7520020877247
R	3	humus	eupthiracaroidea	1213.845	634.052	86.712318891461
P	3	hoja	larva_diptero	1459.24	338.962	86.3822413735583
L	2	humus	ologamasidae	1302.725	593.758	85.3794037848323
R	1	Frag	ologamasidae	1137.844	831.334	85.3696037407012
R	3	humus	eupthiracaroidea	1247.337	609.561	85.1121355600259
P	1	humus	tardigrado	453.722	224.162	84.7742586463552
P	1	humus	tardigrado	453.722	190.171	84.7742586463552
R	3	Hoja	gasteropoda	1311.43	846.277	84.3613589670941
L	3	Frag	hipogastruridae	2327.669	685.751	84.2653672354255
P	3	Frag	tardigrado	451.512	277.41	83.5415211620527
P	3	Frag	tardigrado	451.339	262.669	83.445529386279
P	2	10	dermanisoidea	1131.822	819.115	83.3844195544714
R	3	Frag	eupthiracaroidea	1142.135	656.699	83.3562557071116
P	2	Frag	eviphididae	1186.954	723.185	82.9497817630172
P	1	Frag	eremobelbidae	1084.217	672.618	82.7606961435883
L	3	Frag	hipogastruridae	2304.446	802.771	82.1381025700707
P	1	Hoja	tardigrado	448.462	176.779	81.8599425360187
P	1	10	trip	1055.098	275.655	81.7510797879113
R	3	Frag	epilhomanioidea	1168.243	578.911	81.7397544507691
P	3	Frag	tardigrado	447.868	185.735	81.5350960868003
L	3	10	omnivoro	9889.837	238.948	81.1037796430479
R	3	Frag	eupthiracaroidea	1083.889	679.067	80.9865813242867
L	3	Frag	trip	1043.556	425.311	80.2605232577624
P	1	Frag	afido	1269.493	1009.203	80.2231560030984
R	3	humus	eupthiracaroidea	1154.51	632.776	80.0646794067777
R	3	Frag	eupthiracaroidea	1075.666	675.946	79.4862192853758
P	3	Frag	tardigrado	443.665	257.568	79.2610817189166
L	2	humus	macropilina	1094.614	690.399	79.2427624886036
R	3	humus	eremobelbidae	1027.614	693.71	79.2270979787564
R	1	Frag	gasteropoda	1262.71	1074.827	79.1389574211013
L	3	Frag	hipogastruridae	2268.711	537.884	78.9290545651836
R	3	Frag	eupthiracaroidea	1072.648	674.276	78.8462845269188
L	1	H	mesostigmata	1416.796	437.382	78.7108099295432
R	1	Frag	ologamasidae	1156.663	724.195	78.6791859982828
L	3	Frag	hipogastruridae	2264.05	684.31	78.5162112782389
R	3	Frag	eupthiracaroidea	1178.811	611.123	78.3693759879837
R	3	Frag	gasteropoda	1253.579	1137.448	78.1753614071355
R	3	humus	eupthiracaroidea	1124.15	639.798	78.1747894221535
R	2	10	omnivoro	5789.798	306.529	78.1360961583511
L	1	Hoja	amerosidae	1141.379	740.986	78.0095484094564
L	1	Frag	amerosidae	1194.497	659.064	77.7490112854054
R	2	10	omnivoro	6172.354	296.014	77.6820163005724
R	2	Hoja	tardigrado	440.043	219.721	77.3356673806733
L	3	Frag	hipogastruridae	2250.229	694.177	77.2997571198574
R	2	humus	eremobelbidae	1057.199	658.761	77.1636830065779
R	3	Frag	eupthiracaroidea	1139.665	624.581	76.9449178267833
L	3	Hoja	hipogastruridae	2245.596	647.634	76.8945653460432
L	2	Frag	galumnidae	950.817	739.336	76.3757742499752
L	2	Frag	larva_sciaridae	1388.984	187.959	76.0028645869051
R	3	Frag	eupthiracaroidea	1203.656	586.409	75.9583635834672
L	2	humus	parasitidae	1187.883	647.417	75.7095255287411
R	3	humus	eupthiracaroidea	1240.585	567.227	75.6060632446136
R	3	humus	eupthiracaroidea	1149.07	612.12	75.5527134821578
L	2	Frag	astigmata	1122.539	626.58	75.5513589849603
R	3	10	gasteropoda	1227.682	923.615	75.4686869223574
R	3	Frag	eupthiracaroidea	1118.822	624.807	74.8437473269903
P	3	Frag	tardigrado	433.702	201.458	74.0404009420358
R	3	humus	eupthiracaroidea	1140.388	608.456	73.9982026012133
R	3	Frag	eupthiracaroidea	1082.457	639.3	73.6947395978255
R	1	humus	uropodidae	1109.54	742.911	73.6910277504663
L	3	Frag	hipogastruridae	2207.018	629.711	73.5707158431116
L	3	Frag	trip	990.421	239.219	73.5417539490831
