"litter" "carrion" "tej_veg" "hummus" "isoptera" "crotonioidea" "Octalasion lacteum" "Microscolex dubius" "Eukerria stagnalis" "brachychthonioidea" "oribatido" "alycidae" "ameroseidae" "anthribidae" "anystidae" "aphidoidea" "Aporrectodea caliginosa" "Aporrectodea rosea" "Aporrectodea trapezoides" "arctacaridae" "astigmata" "bac" "bdelloidea" "Bimastos beddardi sophiae" "Bimastos parvus" "blattodea" "carabidae" "ceratozetoidea" "cicadidae" "coccinelidae" "coleoptera_suctor" "cryptophagidae" "cunaxide" "dermanisoidea" "diplopoda" "diplura" "elateriforme" "embrioptera" "enchytraeida" "entomobridae" "epilhomanioidea" "eremobelbidae" "Eukerria halophila" "eupodoidea" "eupthiracaroidea" "eviphididae" "formicidae" "fungi" "galumnidae" "gasteropoda" "geophylomorpha" "Glossoscolex sp." "grillopalpidae" "hemiptero" "hipogastruridae" "ichtyostomatogasteridae" "isotomidae" "juvenil" "laelapidae" "larva_carabidae" "larva_coleoptero" "larva_curculionidae" "larva_diptera" "larva_elateridae" "larva_scarabidae" "larva_sciaridae" "larva_tenebrionidae" "limnozetidae" "linyphiidae" "lycosidae" "macropilina" "mesostigmata" "Microscolex phosphoreus" "nem_bacterivoro" "nem_fitofago" "nem_fungivoro" "nem_omnivor" "nem_predador" "nematomorpha" "Octalasion cyaneum" "Octolasion tyrtaeum" "ologamasidae" "onichiuridae" "oniscidea" "oppioidea" "oribatulidae" "oripodidae" "ortoptero" "parasitidae" "penthalidae" "proto" "protura" "pseudoscorpionida" "ptilidae" "pupa_diptera" "rhagidiidae" "rhodacarioidea" "scheloribatidae" "staphiliniidae" "symphyla" "symphypleona" "tardigrado" "tarsonemidae" "tenebrionidae" "teneriffidae" "terebrantia" "thysanoptera" "trogossitidae" "trombidiidae" "tydeioidea" "uropodoidea" "veigaioidea"
"oribatido" 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"alycidae" 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0.5 0.7 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0.7 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0.7 0.7 0.7 0.7 0 0 0 0 0.4 0 0 0 0 0 0 0 0.7 0.7 0 0 0 0 0 0 0 0.7 0.4 0.7 0 0 0 0 0 0 0 0 0 0
"ameroseidae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0.5 0.7 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0.7 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0.7 0.7 0.7 0.7 0 0 0 0 0.4 0 0 0 0 0 0 0 0.7 0.7 0 0 0 0 0 0 0 0.7 0.4 0.7 0 0 0 0 0 0 0 0 0 0
"anthribidae" 0.7 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"anystidae" 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0.5 0.7 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0.7 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0.7 0.7 0.7 0.7 0 0 0 0 0.4 0 0 0 0 0 0 0 0.7 0.7 0 0 0 0 0 0 0 0.7 0.4 0.7 0 0 0 0 0 0 0 0 0 0
"aphidoidea" 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aporrectodea caliginosa" 0.9 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aporrectodea rosea" 0.9 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aporrectodea trapezoides" 0.9 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"arctacaridae" 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0.5 0 0 0 0 0 0.7 0 0.5 0 0 0 0 0.4 0 0 0 0 0.5 0.5 0 0.7 0 0 0.5 0.7 0.4 0.4 0 0.5 0.4 0.5 0 0 0.4 0 0 0 0 0 0.7 0.5 0.7 0 0.5 0 0 0 0.1 0 0 0.1 0 0.4 0 0 0.4 0 0 0.9 0.9 0.9 0.9 0.9 0 0 0 0.5 0.7 0 0.4 0.4 0.4 0 0.5 0.5 0.9 0.7 0 0 0 0.5 0.5 0.4 0 0.7 0.7 0.9 0.5 0 0.5 0 0 0 0.5 0.5 0.5 0.5
"astigmata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4 0.4 0.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"bac" 0.9 0.9 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"bdelloidea" 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0.5 0 0 0 0 0.5 0.7 0 0 0 0 0 0 0.4 0 0 0 0 0.5 0.5 0 0.7 0 0 0.5 0.7 0.4 0.4 0 0.5 0.4 0.5 0 0 0.4 0 0 0 0 0 0.7 0.5 0.7 0 0.5 0 0 0 0.1 0 0 0.1 0 0.4 0 0 0.4 0 0 0.9 0.9 0.9 0.9 0.9 0 0 0 0.5 0.7 0 0.4 0.4 0.4 0 0.5 0.5 0.9 0.7 0 0 0 0.5 0.5 0.4 0 0.7 0.7 0.9 0.5 0 0.5 0 0 0 0.5 0.5 0.5 0.5
"Bimastos beddardi sophiae" 0.9 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bimastos parvus" 0.9 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"blattodea" 0.7 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"carabidae" 0 0 0 0 0 0 0 0 0 0 0 0.7 0.7 0 0.7 0 0 0 0 0.7 0.7 0 0.7 0 0 0 0 0.7 0 0 0 0 0.7 0.7 0 0.7 0 0 0.4 0.7 0.7 0.7 0 0.7 0.7 0.7 0 0 0.7 0 0 0 0 0 0.7 0.7 0.7 0 0.7 0 0 0 0.4 0 0 0.4 0 0.7 0 0 0.7 0.7 0 0 0 0 0 0 0 0 0 0.7 0.7 0 0.7 0.7 0.7 0 0.7 0.7 0 0.7 0 0 0 0.7 0.7 0.7 0 0.7 0.7 0 0.7 0 0.7 0 0 0 0.7 0.7 0.7 0.7
"ceratozetoidea" 0.4 0.4 0.4 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"cicadidae" 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"coccinelidae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0.25 0 0 0 0 0
"coleoptera_suctor" 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"cryptophagidae" 0.7 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"cunaxide" 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0.5 0 0 0 0 0.5 0.7 0 0.5 0 0 0 0 0.4 0 0 0 0 0 0.5 0 0.7 0 0 0.5 0.7 0.4 0.4 0 0.5 0.4 0.5 0 0 0.4 0 0 0 0 0 0.7 0.5 0.7 0 0.5 0 0 0 0.1 0 0 0.1 0 0.4 0 0 0.4 0 0 0.9 0.9 0.9 0.9 0.9 0 0 0 0.5 0.7 0 0.4 0.4 0.4 0 0.5 0.5 0.9 0.7 0 0 0 0.5 0.5 0.4 0 0.7 0.7 0.9 0.5 0 0.5 0 0 0 0.5 0.5 0.5 0.5
"dermanisoidea" 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0.5 0 0 0 0 0.5 0.7 0 0.5 0 0 0 0 0.4 0 0 0 0 0.5 0 0 0.7 0 0 0.5 0.7 0.4 0.4 0 0.5 0.4 0.5 0 0 0.4 0 0 0 0 0 0.7 0.5 0.7 0 0.5 0 0 0 0.1 0 0 0.1 0 0.4 0 0 0.4 0 0 0.9 0.9 0.9 0.9 0.9 0 0 0 0.5 0.7 0 0.4 0.4 0.4 0 0.5 0.5 0.9 0.7 0 0 0 0.5 0.5 0.4 0 0.7 0.7 0.9 0.5 0 0.5 0 0 0 0.5 0.5 0.5 0.5
"diplopoda" 0.7 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"diplura" 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0.7 0.7 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0
"elateriforme" 0.7 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"embrioptera" 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"enchytraeida" 0.7 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"entomobridae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"epilhomanioidea" 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"eremobelbidae" 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Eukerria halophila" 0.9 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"eupodoidea" 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0.5 0.7 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0.7 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7 0.7 0.7 0.7 0.7 0 0 0 0 0.4 0 0 0 0 0 0 0 0.7 0.7 0 0 0 0 0 0 0 0.7 0.4 0.7 0 0 0 0 0 0 0 0 0 0
"eupthiracaroidea" 0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"eviphididae" 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0.5 0 0 0 0 0.5 0.7 0 0.5 0 0 0 0 0.4 0 0 0 0 0.5 0.5 0 0.7 0 0 0.5 0.7 0.4 0.4 0 0.5 0.4 0 0 0 0.4 0 0 0 0 0 0.7 0.5 0.7 0 0.5 0 0 0 0.1 0 0 0.1 0 0.4 0 0 0.4 0 0 0.9 0.9 0.9 0.9 0.9 0 0 0 0.5 0.7 0 0.4 0.4 0.4 0 0.5 0.5 0.9 0.7 0 0 0 0.5 0.5 0.4 0 0.7 0.7 0.9 0.5 0 0.5 0 0 0 0.5 0.5 0.5 0.5
"formicidae" 0 0 0 0 0 0 0 0 0 0 0 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0 0 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0 0 0.4 0.4 0.4 0.4 0 0.4 0.4 0.4 0.4 0 0.4 0.4 0 0 0.4 0 0 0.4 0.4 0.4 0.4 0 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0 0.4 0 0.4 0 0 0.4 0.4 0.4 0 0 0 0 0 0 0.4 0.4 0.4 0.4 0 0 0.4 0 0.4 0.4 0.4 0 0.4 0 0.4 0.4 0.4 0 0 0.4 0.4 0.4 0 0 0.4 0.4 0.4 0.4 0.4 0 0.4 0.4 0.4
