"contraste" " valor estimado" "error estandar" "grados libertad" "razón t" "p.valor"
"1" "A detritivoro - G detritivoro" -0.380625015230752 0.2410281067377 994 -1.57917273791214 0.206324146972936
"2" "A detritivoro - N detritivoro" 0.499445628590956 0.26578961688645 994 1.87910135257213 0.147386640850618
"3" "A detritivoro - A microfitofago" 0.642591928835744 0.211617287598396 994 3.03657577378671 0.00953199467788768
"4" "A detritivoro - G microfitofago" 0.759977114829779 0.416813191446302 994 1.82330389350858 0.150826721939347
"5" "A detritivoro - N microfitofago" 0.738767015087386 0.239611158932063 994 3.08319119351553 0.00925948064214484
"6" "A detritivoro - A omnivoro" -0.389689193430142 0.968260072502343 994 -0.402463351011718 0.786093644370435
"7" "A detritivoro - G omnivoro" -0.385532846091479 0.353752463251841 994 -1.08983791249819 0.404871401348493
"8" "A detritivoro - N omnivoro" -0.0387227304840243 0.313260841966942 994 -0.123611780651827 0.975553199851903
"9" "A detritivoro - A predador" 1.15504423956556 0.337938127323586 994 3.41791631714753 0.0045669076878676
"10" "A detritivoro - G predador" 1.35676893757739 0.449417784749289 994 3.01894803369713 0.00953800314044695
"11" "A detritivoro - N predador" 1.15504423956556 0.289854282633501 994 3.98491348504942 0.000822371750393571
"12" "G detritivoro - N detritivoro" 0.880070643821708 0.263851458779237 994 3.3354776505445 0.00485665711546988
"13" "G detritivoro - A microfitofago" 1.0232169440665 0.20917779104338 994 4.89161367926625 3.84773335156315e-05
"14" "G detritivoro - G microfitofago" 1.14060213006053 0.415579966334926 994 2.74460325919872 0.0203530296265188
"15" "G detritivoro - N microfitofago" 1.11939203031814 0.237459426723919 994 4.71403492277269 6.10445936462597e-05
"16" "G detritivoro - A omnivoro" -0.00906417819938984 0.967729838259382 994 -0.00936643455749306 1
"17" "G detritivoro - G omnivoro" -0.00490783086072744 0.352298562460922 994 -0.013930885287878 1
"18" "G detritivoro - N omnivoro" 0.341902284746728 0.311618078687876 994 1.09718372626636 0.404871401348493
"19" "G detritivoro - A predador" 1.53566925479632 0.336415888082382 994 4.5647940813671 9.28199827178423e-05
"20" "G detritivoro - G predador" 1.73739395280814 0.448274265494066 994 3.87573877544201 0.00106800598174875
"21" "G detritivoro - N predador" 1.53566925479632 0.288078074514996 994 5.33073979122412 7.98981152043241e-06
"22" "N detritivoro - A microfitofago" 0.143146300244788 0.237286578787915 994 0.603263366078242 0.667909149717019
"23" "N detritivoro - G microfitofago" 0.260531486238823 0.430414080422589 994 0.605304282757265 0.667909149717019
"24" "N detritivoro - N microfitofago" 0.239321386496429 0.262557710888744 994 0.911500125767927 0.487932497928342
"25" "N detritivoro - A omnivoro" -0.889134822021098 0.974192287007352 994 -0.912689244083893 0.487932497928342
"26" "N detritivoro - G omnivoro" -0.884978474682436 0.369680739718904 994 -2.39389932879747 0.0505645556499582
"27" "N detritivoro - N omnivoro" -0.538168359074981 0.331142566234257 994 -1.6251862911948 0.198377482897318
"28" "N detritivoro - A predador" 0.655598610974607 0.354577526024061 994 1.8489570343782 0.147386640850618
"29" "N detritivoro - G predador" 0.857323308986431 0.462059941253653 994 1.85543742801065 0.147386640850618
"30" "N detritivoro - N predador" 0.655598610974607 0.309093107693058 994 2.12103924240732 0.0901970105495458
"31" "A microfitofago - G microfitofago" 0.117385185994035 0.39924182720737 994 0.294020260389862 0.845684185411284
"32" "A microfitofago - N microfitofago" 0.0961750862516416 0.20754350751829 994 0.463397228858948 0.771817332564252
"33" "A microfitofago - A omnivoro" -1.03228112226589 0.960826918872733 994 -1.0743674037328 0.405926935233745
